province_index,province,r_b,consumed_r_a,household_composite_wage,tau,transfer_income,borrowing_rate_gap,return_guard_state,wage_guard_state,classification,iterations_used,final_convergence_statistic,maximum_a2max,first_illegal_iteration,arrays_finite_shape_valid,support_location
18,广东,0.02,0.086287673370157,17.286415001574493,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,21,7.141311919589555e-08,0.0024807838000630578,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
19,广西,0.02,0.08756544677060778,16.822125649139746,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,27,7.736566942639911e-11,0.0025526249385962596,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
20,海南,0.02,0.08665876897535335,16.244721014420247,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,15,1.8218054176344367e-08,0.002497259645538208,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
21,重庆,0.02,0.08592885327235546,18.070548844406634,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_NOT_CONVERGED,100,0.002292397049405537,0.0024634935310762773,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
22,四川,0.02,0.08906225625677495,17.717335154425694,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,52,1.2246097025325753e-08,0.0026448414826724664,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
23,贵州,0.02,0.08979022758512188,17.471672154406804,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_NOT_CONVERGED,100,0.0021379045247167383,0.0026871099087288353,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
24,云南,0.02,0.08689848117056337,16.690391966376946,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,21,2.7268414193315493e-09,0.002513270273381607,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
25,西藏,0.02,0.08467093143392833,14.871770683578495,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,11,1.4184098340308537e-10,0.002376955088960464,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
26,陕西,0.02,0.08403899067870337,18.430975272573402,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,58,9.803824418952445e-10,0.002357707091080463,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
27,甘肃,0.02,0.09,17.49933815729084,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_NOT_CONVERGED,100,0.0014944442782074407,0.0026998080115247514,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
28,青海,0.02,0.07491839929988998,16.341381100330132,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,11,2.7914346389934508e-09,0.0018668863865846652,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
29,宁夏,0.02,0.07895728546418417,17.874582154052934,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,25,5.122036128568652e-11,0.002079349805549302,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
30,新疆,0.02,0.08353213126422437,13.837477514705718,0.05,0.1,0.07,NOT_APPLIED_BOOTSTRAP,UNSATURATED,HJB_CONVERGED,10,2.097110041177075e-09,0.0023074658009367144,,True,OUTSIDE_ACCEPTED_J160_RECTANGLE
