"province_index","province","Ktarget_2018_MU","HJB_converged","HJB_iterations","HJB_statistic","HJB_classification","KFE_classification","At_initial","Bt_initial","Lt_initial","Ct_initial","N_NU","At_times_N_beta1_preallocation","Kt_supply_initial_MU_beta1","private_K_over_target_beta1","GovInv0_G0_MU","firm_K_accounting_G0_MU","firm_K_G0_over_target","GovInv0_G1_residual_MU","firm_K_accounting_G1_MU","firm_K_G1_over_target","beta_a_star","G1_binding_status","asset_bridge_validity","overall_validity","inter_province_productive_contribution_beta1"
"11","安徽","70182433.35888097","False","100","0.18862667495966345","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","8.633994914935972","-1.7331237220247262","0.6370528935500427","11.708814550329276","607600.0","5246015.310315097","218901.27196706057","0.0031190322348571085","70182433.35888097","70401334.63084802","1.003119032234857","69963532.08691391","70182433.35888097","1.0","320.6122683902986","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","66038.9638482096"
"12","福建","87795538.11850408","True","14","8.923409566818918e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.288281882052443","4.688533684457516","0.6657210993194854","10.401708463615293","410400.0","2991110.8843943225","211824.9156194794","0.002412707070985359","87795538.11850408","88007363.03412355","1.0024127070709854","87583713.2028846","87795538.11850408","1.0","414.4721968223006","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","278329.654275645"
"13","江西","51050047.92908307","False","100","0.05869183330034722","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","7.287925034601637","4.687254136300972","0.6589285517404829","10.475618175445794","451300.0","3289040.5681157187","219936.6559413823","0.004308255620972395","51050047.92908307","51269984.58502445","1.0043082556209724","50830111.27314169","51050047.92908307","1.0","232.11250398700693","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","34977.4446185589"
"14","山东","210016973.07581103","True","15","7.239737698228055e-10","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.281911169574231","4.692388076927677","0.6612100534648971","10.738900858662145","1007700.0","7337981.885579953","199444.81695050414","0.0009496604680542149","210016973.07581103","210216417.89276153","1.0009496604680541","209817528.25886053","210016973.07581103","1.0","1053.007926136935","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","649732.614344903"
"15","河南","168320556.01470312","False","100","0.3587512505611632","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","8.82491138826962","-1.940511925276471","0.6836078392830619","12.436299488955813","986400.0","8704892.593389152","204370.7066231856","0.0012141755675125826","168320556.01470312","168524926.72132632","1.0012141755675126","168116185.30807993","168320556.01470312","1.0","823.6041201592018","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","501955.924164459"
"16","湖北","101805153.6623069","False","100","0.007907594369422455","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","9.14595562393632","-0.8492782582383565","0.6187037280202167","11.516436275522537","591700.0","5411661.94268312","210492.1500976498","0.002067598176766801","101805153.6623069","102015645.81240456","1.0020675981767668","101594661.51220925","101805153.6623069","1.0","483.65297050307237","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","318312.619930533"
"17","湖南","93791807.14892803","False","100","0.2058091017317485","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","7.045466751003072","4.6221127766483505","0.6321945683965557","9.863298314431825","663500.0","4674667.189290538","215847.67203445273","0.002301348898115561","93791807.14892803","94007654.82096249","1.0023013488981156","93575959.47689357","93791807.14892803","1.0","434.5277679620161","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","157646.961826446"
"18","广东","191259406.86816654","False","100","0.04680647315474018","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","7.292882692827641","4.683996897785043","0.6653272537503436","10.148967800943874","1234800.0","9005251.549103571","207658.6888552844","0.0010857436622629586","191259406.86816654","191467065.55702183","1.0010857436622629","191051748.17931125","191259406.86816654","1.0","921.0277110121485","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","403316.457201496"
"19","广西","67306708.83876626","False","100","0.09121637957767925","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","9.019562137869334","-0.5640414945816795","0.6456412582951425","10.330139136138044","494700.0","4461977.389603959","216731.66526370766","0.003220060362524782","67306708.83876626","67523440.50402997","1.0032200603625248","67089977.17350256","67306708.83876626","1.0","310.5531845421434","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","131127.164948798"
"20","海南","14673330.466888333","True","14","2.552571487512978e-10","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.303231148085635","4.677009356382602","0.6719519175622154","9.624496213804226","98200.0","717177.2987420093","220138.77286586814","0.015002645334174865","14673330.466888333","14893469.2397542","1.0150026453341747","14453191.694022465","14673330.466888333","1.0","66.654911698944","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","28913.9368839829"
"21","重庆","50663834.63130832","False","100","0.003659066625460339","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","9.159777527916054","-1.3755606590391674","0.611896262914012","11.090223919296262","316300.0","2897237.632079848","216359.9804037753","0.004270501472663364","50663834.63130832","50880194.61171209","1.0042705014726634","50447474.65090454","50663834.63130832","1.0","234.16453697563875","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","142277.710746768"
"22","四川","94830047.41899477","False","100","0.048200291036978093","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","7.2908242225365285","4.685103998700219","0.6610673011765601","10.305289953203566","832100.0","6066694.835572645","218811.9919490324","0.0023074120271419757","94830047.41899477","95048859.4109438","1.002307412027142","94611235.42704573","94830047.41899477","1.0","433.38597018523285","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","68717.3643890558"
"23","贵州","39447014.665611394","False","100","0.3037203268799673","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","8.83148568101891","-1.6585838799270098","0.6989442113415443","11.529331410685097","382200.0","3375393.827285427","220817.3900588127","0.005597822596479374","39447014.665611394","39667832.05567021","1.0055978225964795","39226197.27555258","39447014.665611394","1.0","178.64088808904515","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","8555.42109564566"
"24","云南","68611984.86091176","True","60","1.4832668426834061e-10","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.298893940387087","4.6797808922749695","0.6688141419340898","9.841130274913418","470300.0","3432669.820164047","216819.99749969383","0.0031600892750621497","68611984.86091176","68828804.85841145","1.003160089275062","68395164.86341207","68611984.86091176","1.0","316.44675607474187","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","128477.197869212"
"25","西藏","6325734.326183821","True","13","7.219969511140789e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.31845662773239","4.6689918736931","0.6830850909393061","8.975804814394353","35400.0","259073.3646217266","220547.75222275045","0.03486516202709419","6325734.326183821","6546282.078406571","1.034865162027094","6105186.573961071","6325734.326183821","1.0","28.681926079187193","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","16644.5561775138"
"26","陕西","73897910.2910824","True","77","7.931090162394128e-08","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.281527789393527","4.692207800627235","0.6596879759364712","10.761561272316895","393100.0","2862368.5740105957","214247.64263451993","0.002899238175891615","73897910.2910824","74112157.93371692","1.0028992381758917","73683662.64844787","73897910.2910824","1.0","344.9181955161258","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","205647.84382443"
"27","甘肃","25177704.67938732","False","100","0.03481466673150879","HJB_NONCONVERGED_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","9.106801584198516","1.6350134235841134","0.6285098446598826","9.866403756778285","251500.0","2290360.5984259266","221102.57076200092","0.008781680998229156","25177704.67938732","25398807.25014932","1.008781680998229","24956602.10862532","25177704.67938732","1.0","113.87341446377431","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","0"
"28","青海","17578407.529567722","True","24","2.1059358923380955e-08","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.304725655419864","4.686549948212361","0.6796360768994074","9.934963489707254","58700.0","428787.395973146","218773.0748187012","0.012445557110376149","17578407.529567722","17797180.604386423","1.012445557110376","17359634.45474902","17578407.529567722","1.0","80.34995871468678","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","69884.8782989916"
"29","宁夏","18640640.44456374","True","17","4.1642446380052434e-08","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.285682600625785","4.6921345569783774","0.6664112088220404","10.603197572536327","71000.0","517283.4646444307","218812.72691434613","0.011738476881472146","18640640.44456374","18859453.171478085","1.0117384768814721","18421827.717649393","18640640.44456374","1.0","85.18992796913767","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","68695.3154296437"
"30","新疆","49250553.031937115","True","15","6.1155787101085934e-09","HJB_CONVERGED","DIAGNOSTIC_ONLY","7.332415397221242","4.662450092298817","0.6920831016421801","8.473864689869005","252000.0","1847768.680099753","216302.2451244356","0.004391874442184879","49250553.031937115","49466855.27706155","1.004391874442185","49034250.78681268","49250553.031937115","1.0","227.69321235479535","PRIVATE_BELOW_TARGET","SOURCE_FAITHFUL_DIAGNOSTIC_ONLY","DIAGNOSTIC_ONLY","144009.769126959"
