province_index,province,HJB_converged,HJB_classification,KFE_classification,KFE_source_free_ratio,KFE_upper_b_max_outward_leak_rate,asset_bridge_validity,overall_validity
15,河南,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,1.2989299477027342e-14,4.615659938021393,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
16,湖北,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,2.94708184765571e-06,0.007759133731191779,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
17,湖南,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,2.3105564971803003e-08,4.684902940472038,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
18,广东,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,8.412795459349587e-09,4.211756428764804,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
19,广西,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,9.14803188466253e-06,0.29508018538582115,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
20,海南,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12335222678593173,4.183348550755901,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
21,重庆,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,4.082089239434528e-06,0.00790458742814058,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
22,四川,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,0.000703929312085506,4.255931104369305,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
23,贵州,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,4.381760389060762e-15,4.633944832085544,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
24,云南,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12049425850980072,4.200156834418785,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
25,西藏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.1351315125941733,4.116159383795591,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
26,陕西,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.1152415606233068,4.219818479317899,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
27,甘肃,False,HJB_NONCONVERGED_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,2.7513016043059495e-05,0.00866780853203026,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
28,青海,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.14238335702021288,4.053425722683096,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
29,宁夏,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.12545429494449414,4.144777158408012,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
30,新疆,True,HJB_CONVERGED,DIAGNOSTIC_ONLY,0.14494522461261883,4.067717483050515,SOURCE_FAITHFUL_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY
