turn,private_K_over_target_median_A,private_K_over_target_median_B,private_K_over_target_median_delta_B_minus_A,GovInv_over_target_median_A,GovInv_over_target_median_B,total_K_over_target_median_A,total_K_over_target_median_B,raw_ra0_median_A,raw_ra0_median_B,raw_ra0_median_delta_B_minus_A,raw_ra0_std_A,raw_ra0_std_B,raw_ra0_above_0p09_A,raw_ra0_above_0p09_B,upper_clip_count_A,upper_clip_count_B,entering_rah_median_A,entering_rah_median_B,network_rah_median_A,network_rah_median_B,Y_median_A,Y_median_B,wage_median_A,wage_median_B,max_nk_gap_A,max_nk_gap_B,max_yt_gap_A,max_yt_gap_B,hjb_converged_count_A,hjb_converged_count_B,source_final_predicate_A,source_final_predicate_B
11,0.042037151587409574,0.04193906233317803,-9.808925423154119e-05,0.9579628484125904,0.958060937666822,1.0,1.0,0.21365097438381933,0.21394524825608374,0.00029427387226441115,0.08853401181739019,0.08850134497939689,30,30,30,30,0.08999554928785827,0.08999692200076537,0.08999554956654228,0.08999692231081206,22719217.072731446,22753451.87408527,1.0466121494452454,1.04809942366496,0.0007232468718125773,0.0006941715394475079,2.708285683050704e-06,2.236374234354521e-06,31,31,False,False
12,0.04203715164577463,0.04193906244749491,-9.808919827972162e-05,0.9579628483542254,0.9580609375525051,1.0,1.0,0.21365097540810127,0.21394525041040857,0.00029427500230730375,0.08853402107838321,0.08850135653769539,30,30,30,30,0.08999554956654228,0.08999692231081206,0.08999554954911741,0.08999692229347964,22719217.542180263,22753452.461246338,1.046612114200552,1.0480993747709009,0.00028915537886020637,0.00027752627973409716,3.730580553362728e-07,3.124851453151223e-07,31,31,False,False
13,0.042037151640681565,0.041939062426070234,-9.80892146113313e-05,0.9579628483593186,0.9580609375739298,1.0,1.0,0.21365097532451938,0.21394525032051806,0.00029427499599868345,0.08853402186051744,0.08850135740210865,30,30,30,30,0.08999554954911741,0.08999692229347964,0.08999554955024361,0.08999692229474934,22719217.496868815,22753452.395716693,1.0466121231923544,1.0480993868551083,0.00011564418579568247,0.00011099513381918058,5.3360678431424446e-08,4.505393935705371e-08,31,31,False,False
14,0.04203715164074451,0.04193906242789504,-9.808921284946981e-05,0.9579628483592556,0.958060937572105,1.0,1.0,0.21365097532885624,0.21394525032926628,0.0002942750004100436,0.08853402190605299,0.0885013574594753,30,30,30,30,0.08999554955024361,0.08999692229474934,0.08999554955011776,0.08999692229461864,22719217.507215858,22753452.40973301,1.046612121916182,1.0480993850723777,4.6254335743345365e-05,4.4394893666366286e-05,7.463800688611855e-09,6.331795532332762e-09,31,31,False,False
15,0.04203715164074287,0.041939062427675255,-9.808921306761476e-05,0.9579628483592572,0.9580609375723248,1.0,1.0,0.21365097532806115,0.21394525032826942,0.0002942750002082606,0.08853402191167065,0.08850135746512028,30,30,30,30,0.08999554955011776,0.08999692229461864,0.08999554955012541,0.08999692229462737,22719217.50586431,22753452.407831945,1.0466121221273714,1.048099385364062,1.8501236478618566e-05,1.7757506713511617e-05,1.0497149816046658e-09,8.930404193918662e-10,31,31,False,False
16,0.042037151640739484,0.041939062427699285,-9.808921304019919e-05,0.9579628483592605,0.9580609375723007,1.0,1.0,0.21365097532809257,0.21394525032832476,0.0002942750002321859,0.08853402191179692,0.08850135746536882,30,30,30,30,0.08999554955012541,0.08999692229462737,0.08999554955012454,0.08999692229462647,22719217.506085422,22753452.408137374,1.0466121220969222,1.0480993853216058,7.400411392577411e-06,7.102925418278616e-06,1.4693424255085574e-10,1.2521428338629903e-10,31,31,False,False
17,0.04203715164074082,0.04193906242769905,-9.808921304177431e-05,0.9579628483592593,0.9580609375723009,1.0,1.0,0.2136509753280851,0.2139452503283162,0.0002942750002311034,0.08853402191185118,0.0885013574654165,30,30,30,30,0.08999554955012454,0.08999692229462647,0.08999554955012459,0.08999692229462654,22719217.506054327,22753452.40809406,1.046612122101514,1.0480993853279699,2.9601515492139185e-06,2.8411582324583406e-06,2.0583201809643015e-11,1.7557511000632076e-11,31,31,False,False
18,0.04203715164073372,0.04193906242769257,-9.808921304114981e-05,0.9579628483592663,0.9580609375723075,1.0,1.0,0.21365097532808566,0.21394525032831638,0.00029427500023071484,0.08853402191184911,0.08850135746541604,30,30,30,30,0.08999554955012459,0.08999692229462654,0.08999554955012459,0.08999692229462652,22719217.50605901,22753452.40810049,1.0466121221008486,1.0480993853270522,1.1840585036893003e-06,1.1364613463626938e-06,2.880362615087506e-12,2.4567015088905464e-12,31,31,False,False
19,0.0420371516407392,0.041939062427697765,-9.808921304143431e-05,0.9579628483592608,0.9580609375723023,1.0,1.0,0.21365097532808752,0.21394525032831455,0.00029427500022702335,0.08853402191185059,0.08850135746541594,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.506058525,22753452.408099405,1.0466121221009212,1.0480993853272071,4.7362303412512574e-07,4.5458425734778984e-07,3.9479530755670567e-13,3.50941498084012e-13,31,31,False,False
20,0.042037151640742836,0.04193906242769903,-9.808921304380741e-05,0.9579628483592572,0.9580609375723009,1.0,1.0,0.21365097532808805,0.21394525032831488,0.00029427500022682906,0.08853402191185071,0.08850135746541594,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.506058626,22753452.40809959,1.0466121221009075,1.0480993853271805,1.8944915458618539e-07,1.8183364836055205e-07,5.6621374255882984e-14,5.040412531798211e-14,31,31,False,False
21,0.04203715164074416,0.04193906242770116,-9.80892130430025e-05,0.9579628483592558,0.9580609375722989,1.0,1.0,0.2136509753280869,0.21394525032831543,0.00029427500022852215,0.08853402191185035,0.08850135746541621,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.50605851,22753452.40809962,1.046612122100923,1.048099385327177,7.577967076066727e-08,7.27334421579684e-08,1.2434497875801753e-14,4.3298697960381105e-15,31,31,False,False
22,0.0420371516407421,0.04193906242770257,-9.808921303953305e-05,0.9579628483592579,0.9580609375722974,1.0,1.0,0.2136509753280854,0.2139452503283166,0.0002942750002311867,0.0885340219118498,0.08850135746541667,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.50605839,22753452.40809973,1.046612122100938,1.048099385327163,3.031189010904711e-08,2.9093357278853205e-08,6.328271240363392e-15,5.551115123125783e-15,31,31,False,False
23,0.04203715164073925,0.041939062427697196,-9.808921304205187e-05,0.9579628483592607,0.9580609375723028,1.0,1.0,0.21365097532808663,0.21394525032831405,0.00029427500022741193,0.08853402191185018,0.08850135746541575,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.50605853,22753452.40809947,1.04661212210092,1.0480993853271976,1.2124734993790298e-08,1.1637383279250457e-08,6.217248937900877e-15,1.1879386363489175e-14,31,31,False,False
24,0.042037151640741066,0.04193906242769823,-9.808921304283597e-05,0.9579628483592589,0.9580609375723017,1.0,1.0,0.21365097532808747,0.21394525032831552,0.0002942750002280503,0.08853402191185052,0.08850135746541622,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.50605858,22753452.408099655,1.0466121221009137,1.0480993853271725,4.849882495605584e-09,4.654928442704431e-09,3.3306690738754696e-15,8.215650382226158e-15,31,31,False,False
25,0.042037151640744834,0.04193906242770397,-9.808921304086532e-05,0.9579628483592552,0.9580609375722959,1.0,1.0,0.2136509753280869,0.2139452503283169,0.0002942750002299932,0.08853402191185032,0.08850135746541675,30,30,30,30,0.08999554955012459,0.08999692229462652,0.08999554955012459,0.08999692229462652,22719217.506058518,22753452.40809975,1.046612122100922,1.0480993853271605,1.9399624129334825e-09,1.8619512598405663e-09,2.886579864025407e-15,5.773159728050814e-15,31,31,False,False
