iteration,convergence_statistic,signed_dV_at_argmax,argmax_b_index,argmax_a_index,argmax_z_index,argmax_b,argmax_a,argmax_z,A2max,operator_legal,finite_checks_pass,shape_checks_pass,liquid_selector_changes,transfer_selector_changes,consumption_change_count,consumption_change_max_abs,labor_change_count,labor_change_max_abs,transfer_change_count,transfer_change_max_abs,vb_forward_floor_hits,vb_backward_floor_hits,value_sha256,liquid_label_sha256,transfer_label_sha256,value_period_2_inf,value_period_3_inf,linear_solve_residual_inf
18,0.0022861241597675885,0.0022861241597675885,19,133,1,20.0,20.813771517996873,1.3,0.0015128765254776577,True,True,True,2,7,22583,14.885401628281667,22583,0.0876466446893569,16739,467.4614214656373,1,1,1C680CAFA2B47363DA27BC54D20710D75107827D77EF7996266FCD15C50F25EE,D49851D54D62F75CC02DE061F14EB65F757342D34CEF092FC4AD14B0DE0D7330,799CF386A056EAD6BB19200E91EA3B7C0CFFB27D87C7C8214DF881087804DE39,0.002869557383180732,0.0033672704512632823,2.198620192156442e-12
19,0.010649365633657482,0.010649365633657482,19,147,1,20.0,23.004694835680752,1.3,0.001512876525478546,True,True,True,6,13,22607,713.4911535316307,22607,0.08208855327103826,16777,62811.35972757942,0,0,8E8A079B215FF1C3E12371194BDD396AC4529BAF647EA374CAA17DA417E7B2D8,1D81B7FEA753F5C7450CF66407652A62195DE5EDA70534F4A638BA793BE34BD6,09F668890BE12153D746287CB32FFED81AB850DFCF4B9C87556DE958422C1BBD,0.011550679154709975,0.011721023824019072,3.2960285958894e-08
20,0.009072813797228463,-0.009072813797228463,19,147,1,20.0,23.004694835680752,1.3,0.0015128765254776577,True,True,True,43,22,22634,83.75749152411649,22634,0.19496247941257833,16784,53555.578294591454,0,0,738ABA477FCAAB7A6A2A217296BBB3E661B0794EB2AD37BA022D7F65D9FCA648,63DD3E03933087742032F154927FD8C9E9C03ECEA3966D2D827A569B2F9E685A,E199E14177E261B0C5A0D203C4EF6DFF683C7C6AEEA5BD604B68AE836731451D,0.004069374787152524,0.0029704291972139085,1.623785507096076e-10
21,0.002113117970877987,0.002113117970877987,19,138,1,20.0,21.5962441314554,1.3,0.0015128765254776577,True,True,True,32,9,22765,161.77141775135567,22765,0.19308569095549935,16763,7979.816741608986,0,0,3D17D853D360C90EEB4FE047B8856B40D6D8E39EE4DB16B7B00B3FFF1B336E89,9D9DAD6B22785D9AE9A923218CC6E0F553AAB62E687E84D3C082A528E411E639,ACBEC35130D477F5FF6CD5CA1739F1A0F0CC2DBED39628B5A009BF1E4A4AC150,0.008646302791372795,0.003212164751321467,1.3433806150819905e-11
22,0.002103196574987587,0.002103196574987587,19,136,1,20.0,21.28325508607199,1.3,0.001512876525478546,True,True,True,4,6,22661,14.587049157308297,22661,0.07864104873413058,16754,672.6244776499176,0,0,B478A587BC50F70EFCA4366A86957B0F107A78E3071945293CA5A8D5BA8B0EC6,33F93B1780CD684423EBA949579F7B2E8D174ACF412627824FC18AD565B4C5F0,8DE621B1FDA4B49CEAF337B1F68EA9E507A206E9119B4E60208256598CA02AAC,0.0038706570424367204,0.00804009797310501,2.021417755404542e-12
23,0.002022692355914568,0.002022692355914568,19,152,1,20.0,23.787167449139282,1.3,0.001512876525478546,True,True,True,8,7,22675,8.697064532363019,22675,0.0844999727970776,16788,228.09835569362053,0,0,41FA4E979B8DCD671A863477A82F01F8540DD9B7453061A6C4BDFDF99ACF5584,8F1D95FFBDA7F6EE5EEFB55FEF111DE62A8825BA469C670EDE400905A6F1B271,2F7EEAC5257D56C61ADCCCDBC6EBA05E86223521DBB57BEB65A8B14B49E0447B,0.004058111208058435,0.005507636286173012,1.5015766408055242e-13
24,0.0022654381564446435,0.0022654381564446435,18,130,1,18.842105263157897,20.344287949921753,1.3,0.0015128765254776577,True,True,True,16,8,22604,3.4685076803218813,22604,0.06821059382748718,16762,68.08840015015932,0,0,D870491179E8F4BE28C3A35144091CE078C174C393112CC9E7F05A9EA43DFAB9,5A62CA3480F6EF48FD4B9241FC26FB56DF2199A0B1C920152BBDFB5FC4588391,A620DA6DD8CAB3D0F5DA10BDD647EA897D3874EF4E94169BE3EFC9C17FCCC92D,0.0032543315194606404,0.005289750371604507,1.5576429035490946e-13
25,0.008894472886429527,-0.008894472886429527,19,149,1,20.0,23.317683881064163,1.3,0.0015128765254776577,True,True,True,29,31,22769,3.1994250106742737,22769,0.07837951685107891,16806,27.373184015133358,0,0,3134D552C74D353CFF4F75DEB858886068A7F6E545C126C33F9AB7D9F96B03CF,EF0857DB4BBB35D4A5446AE3F6CA9CD49DF414D84FCD0C3EA290E1DCF80DB32A,CD7F2853E9681AEF5339E18504AE3A6FF9678D66E8A0CF146F89B64690F88E80,0.008046509945050184,0.007712573480916474,1.288136264321338e-13
26,0.0017173904674994134,-0.0017173904674994134,19,146,1,20.0,22.848200312989047,1.3,0.001512876525478546,True,True,True,74,32,22648,131.03621906233002,22648,0.4013595394598545,16768,7513.253383155072,0,0,16074B2E337BAF4F345E092581953E6E6EAC679D06E00C642D87602F626CD71C,E8FF2AC2D2BA952A7D78C66C0999EF3299EF2D14CD017E5960FF7BF2BE2F7817,F2E050E88DDE6B4DDF7F590EA5824E8ECDF127BB7A8EB85E9EA5BDD27F19323A,0.00935591645060141,0.0086820874923772,2.0017584465015226e-10
27,0.0014860604569217895,0.0014860604569217895,19,151,1,20.0,23.630672926447577,1.3,0.001512876525478546,True,True,True,46,9,22705,53.799379959126824,22705,0.12551826418911272,16778,3755.806032594344,0,0,2F3D5CA13033D107719A0702B7FE281AB8CE6ECF7D5A245C859865ECFFE5A64B,E412732BAFF3452152BBD3B5C6BDD8697CBFED75D4F37C41F04B4EF1C2331B49,6C966553CD5D744C1E86078C6995AA8485030937EF80C768EA3014E1F381652B,0.0031823658374343644,0.008385910670104746,6.728875096007059e-11
28,0.0020845151461446054,0.0020845151461446054,19,143,1,20.0,22.37871674491393,1.3,0.001512876525478546,True,True,True,7,4,22696,31.652095750497892,22696,0.05630444476436525,16750,1877.668043736042,0,0,24469D6C39CB365C0E7A3FF304F813DC7259D49520E79F2CEF0F972CF56BA29B,72950C749B8BCD1B0211299F35D96BAAA327983193D9B3D0DE4700FFBD11E658,3C4F3BC552271C7F8CFBC9709670BFEB723BBCDF3A3FBEE4DED10E811F47C29B,0.0028076995532313465,0.004282399918779767,1.1780201814026725e-11
29,0.014239905857352575,0.014239905857352575,19,145,1,20.0,22.69170579029734,1.3,0.001512876525478546,True,True,True,30,12,22629,18.765316717625986,22629,0.07583111907805429,16744,938.6619696399973,0,0,C7763A293E04C469D1DE64859E93271914995A3CB07B18E289E77A1827587350,432E74B5B6501AB57F5DBF94561EC251F2DF360E2964FA9E30D8503D18B054F8,EF494FD281D27495C1FBE380235A2FD310BB2FB2CC511991C7C8F89BE4DD52FB,0.01615171999276921,0.01679691070960021,1.05700517782914e-12
30,0.005470319278691571,-0.005470319278691571,19,144,1,20.0,22.535211267605636,1.3,0.001512876525478546,True,True,True,8,60,22676,11.427865961382555,22676,0.1525373936218063,16816,469.190237680311,0,0,8D089B1C697EB9BAAE1291E7385CF5C8194DE11B82975205CBC4F0BE97307C10,1F94A157910EF3E182AEE46B4CD4BF8BDEB96F0D9B59D04419BF83D75106822F,D6A707DCBC19112216BDDB3DC4713796CB1674B0D836496403972D6D66C1707E,0.009202758552522505,0.01082874812379031,3.289438166298453e-12
31,0.007365441155810837,-0.007365441155810837,19,144,1,20.0,22.535211267605636,1.3,0.001512876525478546,True,True,True,0,34,22738,6.991670994472205,22738,0.07298757684036161,16780,234.4774988809055,0,0,721931FEF9DB7D058E3D1C6C00B427E47B6C966723CADD25F30CFF92773AE7C1,1F94A157910EF3E182AEE46B4CD4BF8BDEB96F0D9B59D04419BF83D75106822F,C250183C75F94901050AB50A73772EFF373DA3E063DF0E741941D2D10D5F4D2F,0.012835760434502408,0.00340098336952388,8.808925811010226e-13
32,0.006869017455800819,-0.006869017455800819,19,145,1,20.0,22.69170579029734,1.3,0.001512876525478546,True,True,True,57,48,22713,5.3141918577295755,22713,0.1061726989894426,16781,207.8441590835954,0,0,FBD13D3D6FCB04C85CF6A3EBA1C713FEC0FB4C4E3BB1DC8EF62C07B1C09F7DC2,54A830AE7FC84ACCA732D35F107CC6E6730DDD812D31D2187C7435878F2F7AD3,2DC45C8EC0D6199019C95C57055B48B3091C5C89FCC45C65CFBBEDD94A709BEF,0.014176368451604526,0.019412483932772506,1.2561340856365177e-12
33,0.0020477152874898152,0.0020477152874898152,18,142,1,18.842105263157897,22.222222222222225,1.3,0.001512876525478546,True,True,True,84,44,22680,36.534103667932044,22680,0.2695094923443941,16752,996.5167367766375,0,0,0AF3DFA3AF17D518CD964D0330FB621332910AC9190FA5AA098E9242831E1BCB,A7A52C329E0F9098E6EFA9489F06495D0667EC250362503FAC0AD5225499FCF8,B97389DE928939F6DC852D679AB351B1DAF582D92E872AF9016D53352241C214,0.0052905813653727485,0.012656022521183585,2.940239024473712e-11
34,0.0016253574271414273,0.0016253574271414273,18,142,1,18.842105263157897,22.222222222222225,1.3,0.001512876525478546,True,True,True,29,8,22674,15.438451082398707,22674,0.06122240396424522,16792,494.2495689809675,0,0,917295F5FA6B2363479ACFE6120B07C073A9AA7BE5833B4B6155CFC70573463E,CFEC372724EEF284A5680FE77388ED169C7EB6A028B4BCDF2D5396164647AFCF,373D8E128B2E8A516003B01C6B80755F4683F73D5DB07B8AE9424297E3FCF158,0.0036730727146312425,0.00424836910256543,4.037291334579862e-12
35,0.0022670090539871346,0.0022670090539871346,19,141,1,20.0,22.06572769953052,1.3,0.001512876525478546,True,True,True,48,4,22799,9.83487293669608,22799,0.06441451210456939,16785,246.91273247618756,0,0,77FC8A2B3309F72AA6313E4326F9F10DB1CDA2B80C23069C2E96EB429AB5F2B6,3E19A407ABB68AB317F973529BAAFCE9DF619D69A90C235FF9D4B90C8514E0DD,2802F7A8D63CAD3211A00844AA20B2BBF1777380DC0DCA06B3F939C3B2B93B43,0.0036910403015977256,0.005171330789528916,1.089094092687759e-12
36,0.0032792829454100225,0.0032792829454100225,19,144,1,20.0,22.535211267605636,1.3,0.0015128765254776577,True,True,True,13,12,22705,5.901508207061795,22705,0.07524679053637584,16778,123.29971238591564,0,0,B4E570B99D9A5C423A132A69E36100702D3BDA817F19D5CCFC4F685A1F518A4B,3C26980D2A6B1424FAB3C57231BAF39141176E3514012D6BCF749596DD90421E,3024A67A1E52BCBF340FDD57BEF67214E7EB2E42D4016AD26BF87EC518505C04,0.005296450693234922,0.006681795575505856,3.715777685542321e-13
37,0.027322028168027535,-0.027322028168027535,19,144,1,20.0,22.535211267605636,1.3,0.001512876525478546,True,True,True,19,21,22671,3.5918130897006098,22671,0.07371434697333656,16754,75.74400522902806,0,0,5FC32FBFC2729DDABC6A4069111FD6E8512B3C3A3D93E0FFB70B054AE559138B,7DDA2204E8AFE8B986A48C69CA1A303F88F4A9B5BF4D61C0068CBA37B345F542,D4517B9D3F5F19477E59A625EEDC0CD3CF3F88582CAA47DEC1243CCC407DF070,0.024042745222617512,0.02216898044928106,1.2731482534888983e-13
38,0.10457186913488892,-0.10457186913488892,19,138,1,20.0,21.5962441314554,1.3,0.0015128765254776577,True,True,True,148,58,22734,990.0452002018113,22734,0.605890876136618,16808,506.696083335481,13,13,35CF4DCB1C8F7647D2519499DAAA0129BEC061E8E8723E8798E62767F786D0A9,5A9E80BA9C13414427615290693D60B22C1F41280B914043068D9EBD00E7FB57,193CD4B1048647520F9C7118EF71F07D60E175EE7A595DD6DC5DFC7A5D1C0595,0.12225184293465596,0.12023991066872353,8.974444451470553e-13
39,0.10366509854475403,0.10366509854475403,19,139,1,20.0,21.752738654147105,1.3,0.0015128765254776577,True,True,True,113,14,22869,988.6052834016106,22869,0.5680287922078358,16796,6615.611500118808,32,32,7CF5FF11DFF8C2C0C2D7BF01EC98B63F0AA945AEAB4646E81C1D8F5984180655,B4EBAE004FD515EA0D008C39408CEE4B89A500A29451FEC0C2AC21D3C9643F0F,B6E6949713888742CA5C379E20A9CEF2F2AC4B25D3114FE8844C865D0D8D322D,0.019289926221831344,0.021410019216113962,3.1658157866043535e-10
40,0.0036256280075459557,0.0036256280075459557,19,127,1,20.0,19.874804381846637,1.3,0.001512876525478546,True,True,True,71,20,22858,956.5457467384676,22858,0.2853290968053477,16787,102801.28321716476,16,16,D34BD6ADDA78EBC44CD66AB59C070F3C01412C759BA6DF6E80EF22983514F795,D90556594BB9A3EF740C75EFA70198C895AABDEACF7C4FE27CE72C94D53F4B79,542259A0BF8137E4CBD82474773C55B370BA348FFF31773F936C33B6D3EC7903,0.10371896736450248,0.019463476684641545,5.370267742565299e-08
41,0.004981427810995198,-0.004981427810995198,19,125,1,20.0,19.561815336463226,1.3,0.0015128765254776577,True,True,True,28,5,22645,227.0554083433542,22645,0.17829562733070525,16770,51400.78974187842,14,14,6943B6BD2673CA7AF466E347323C49A5F94776EB1D187A99A8CB2107BE2A494E,06600264205123DB6FC9DC62F9631E7DB3962705F3DE757F8151C9495A298232,2CF9AB9F53EF2C4E4A44ED887438903C9577CA9AF5B954C74F20303B9ADD5325,0.003742908419725355,0.10378055774646344,7.267352980554545e-08
42,0.003377600916382173,0.003377600916382173,19,123,1,20.0,19.248826291079812,1.3,0.0015128765254776577,True,True,True,41,15,22617,891.8240466691617,22617,0.16330329088663076,16778,25700.271620383828,13,13,FA9C05482E78311B760102652BD4B1781F55C024E90B0CBA7EEE052E9B74FFD3,1F982D8D66080DEC7F608268204375BC8D416946A310E098417FD41313DD58CA,D2BB7813C35FF939D5338A953F679BC17EC9315756536A1FDB083DD2AEA74F1D,0.003107397669160239,0.005275154743146215,8.435778812466987e-09
43,0.004380601327520051,0.004380601327520051,19,128,1,20.0,20.031298904538342,1.3,0.0015128765254776577,True,True,True,8,9,22671,162.77413319926683,22671,0.10854363802692374,16766,12849.950545989872,13,13,9703B00707D2377209C89CEA3BCA97D4EEA75040924C6D6CDF87102CE844BAFB,86EBD9D6BB8497EAC7FD825251EAB112B8FBCFF0F2A6769F580B4FD749D0160A,0512E6A9DCDF39CCC3CA3B9E3AB5AAF94EFF7F3C61E8986D21DBC1E90F2D69AD,0.00648797428295822,0.004237943109202114,1.1668208179174688e-09
44,0.0029044873932631,0.0029044873932631,19,129,1,20.0,20.187793427230048,1.3,0.001512876525478546,True,True,True,9,11,22686,911.682796753274,22686,0.1867274143900703,16809,6424.68536353302,12,12,CAFC45341D45AAA45E936472326830732126DB38D6CA2E1FD3A1AE3D7ECEF17F,506BFEAB4E703D8355A1FEAB8E51A285848EFB0174D80AA71C387B150E5A22F9,572A19BD683E00D650337ABC646135DB9F18008B9EF4657269965F585A5279DF,0.006672066380918107,0.008079916116884522,3.5551400798944366e-10
45,0.0034706169528266884,0.0034706169528266884,19,130,1,20.0,20.344287949921753,1.3,0.001512876525478546,True,True,True,5,7,22565,870.07709289783,22565,0.16869677344835726,16766,3211.8976120014086,11,11,5F9293C4E1BB543DFEB1328CEA5CEBAC53BA05E479044AC2F19EEFAA6A9BD144,A475B612985543A78E2D4BEE0B4C7EB69F22CB37620AE48500C7AB837126DCB7,24B28D358C42A2AE0CA80866A577C6408EEC35AFFBE947E64096A2910F3541C3,0.006137356131196148,0.00940137186582679,4.86730915988387e-11
46,0.003954083394363428,0.003954083394363428,19,131,1,20.0,20.50078247261346,1.3,0.0015128765254776577,True,True,True,3,7,22660,98.14413740758764,22660,0.1948353448368575,16756,1605.3234067191238,11,11,4A719756966AC4C59BB9050CF6C2EB23BFE242238D3542794C563B6435C0B3F6,FB45F975FBF3E136C38349EF16245E42A4CED8881F3E657B29B91DA1CD77F13A,75C2F7742FD2882A45E3328404E0325D807D396FC0EA18E729484C0AD7A936B8,0.006968107387598899,0.009030436430089939,1.1920957276867483e-11
47,0.0028495449031709086,0.0028495449031709086,19,132,1,20.0,20.657276995305164,1.3,0.0015128765254776577,True,True,True,4,4,22547,926.7006169575988,22547,0.20999422342044977,16772,801.9174261944675,10,10,274E0BFDC76400E16AB075EF5565CB10F45975FCE8A2C564E76822498F8C91E7,2DB32021BB9130D888221D623D21EE27C8603D7B9D705ABABCF8BC7DC9061BF8,1F46D3697AD401E512CBE4E900CCD40C54346A27F187AC4A6A2D5E08D228C2EF,0.005789481868587298,0.007982014293657747,3.0396605371629803e-12
48,0.0013286481869172473,-0.0013286481869172473,19,129,1,20.0,20.187793427230048,1.3,0.0015128765254776577,True,True,True,1,4,22622,915.2443953942226,22622,0.19171774513858147,16769,8590.353771518096,7,7,80756EABC55136319A874662046D2EE84FA67DE09B28418BE422CDDEEF9696CC,C372B6E87D1610879039B112C00885F0B71A6FBE0850C1C6611DC2A3DC37B821,A5FFD21F654D56A8159D2D62E566B774D95ACE42304D608F10F882B6A265195F,0.0029499731142212937,0.004986147362180171,1.2306889292379442e-09
49,0.0042845253645660275,0.0042845253645660275,19,133,1,20.0,20.813771517996873,1.3,0.0015128765254776577,True,True,True,3,7,22578,903.1136786603743,22578,0.1757966616452255,16763,4544.329451222318,6,6,95DF6A3B80593E000B8243B269599CA4BF8F877A8721CFED66CEF7DD14F1CB90,07B7A0FA548C591CD003DF0CD237934DDBEEBB4872EA808C6097E47BEA8DE260,24F46B3DD743ADE0FC3429C1DAD0884EE1FC09EB6A0528F58F0CED0907892FE1,0.005286112190466596,0.007167617369320478,2.1113275017192734e-10
50,0.0020606980796356034,0.0020606980796356034,19,134,1,20.0,20.97026604068858,1.3,0.001512876525478546,True,True,True,5,6,22521,902.576193144622,22521,0.190721950039552,16756,2174.413159409095,5,5,165050734A0EC02DED4748A2E566A934582E955CDB02058D3B3290AA18D88374,F7370908A8497A8F5B0860018D6C08B79FD6173FAF3477B3EA78E9B1FEDAAD4C,52BF1D5A6CE7271C062106F78614975DED1574842067694E65176B155FCC17AC,0.004781738680398995,0.005783325506299564,1.0604454814266973e-11
51,0.007777041028576681,0.007777041028576681,19,135,1,20.0,21.126760563380284,1.3,0.0015128765254776577,True,True,True,0,6,22536,907.5187807028169,22536,0.1882174750149807,16744,862.0150522362949,4,4,A7DFC31A14227F2CA0940A1BAC85B1A3C3E3614B24F8846CB340A3D3A1549CDF,F7370908A8497A8F5B0860018D6C08B79FD6173FAF3477B3EA78E9B1FEDAAD4C,058BF5A67A3E9E87DFA3E5F944F05A7B50D2AD924E3ECD5DDD709D5EC8960431,0.009634579451995195,0.011272347499681867,1.0892564628051105e-11
