index_0,province,phase,field,side,constraint,observed,contacts,first,last,longest_confirmed,frequency
3,山西,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
3,山西,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
3,山西,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
3,山西,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
3,山西,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
3,山西,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
3,山西,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
3,山西,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
3,山西,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
4,内蒙古,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
4,内蒙古,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
4,内蒙古,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
4,内蒙古,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
4,内蒙古,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
4,内蒙古,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
4,内蒙古,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
4,内蒙古,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
4,内蒙古,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
4,内蒙古,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
4,内蒙古,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
4,内蒙古,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
5,辽宁,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
5,辽宁,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
5,辽宁,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
5,辽宁,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
5,辽宁,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
5,辽宁,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
5,辽宁,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
5,辽宁,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
5,辽宁,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
5,辽宁,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
5,辽宁,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
5,辽宁,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
6,吉林,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
6,吉林,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
6,吉林,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
6,吉林,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
6,吉林,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
6,吉林,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
6,吉林,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
6,吉林,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
6,吉林,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
6,吉林,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
6,吉林,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
6,吉林,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
7,黑龙江,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
7,黑龙江,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
7,黑龙江,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
7,黑龙江,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
7,黑龙江,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
7,黑龙江,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
7,黑龙江,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
7,黑龙江,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
7,黑龙江,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
7,黑龙江,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
7,黑龙江,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
7,黑龙江,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
8,上海,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
8,上海,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
8,上海,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
8,上海,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
8,上海,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
8,上海,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
8,上海,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
8,上海,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
8,上海,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
8,上海,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
8,上海,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
8,上海,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
9,江苏,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
9,江苏,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
9,江苏,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
9,江苏,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
9,江苏,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
9,江苏,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
9,江苏,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
9,江苏,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
9,江苏,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
9,江苏,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
9,江苏,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
9,江苏,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
10,浙江,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
10,浙江,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
10,浙江,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
10,浙江,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
10,浙江,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
10,浙江,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
10,浙江,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
10,浙江,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
10,浙江,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
10,浙江,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
10,浙江,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
10,浙江,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,0,,,0,0.0
11,安徽,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
11,安徽,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
11,安徽,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
11,安徽,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
11,安徽,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
11,安徽,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
11,安徽,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
11,安徽,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
11,安徽,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
11,安徽,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
11,安徽,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,23,4,3,6,4,0.17391304347826086
11,安徽,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,23,19,2,24,18,0.8260869565217391
12,福建,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
12,福建,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
12,福建,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
12,福建,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
12,福建,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
12,福建,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
12,福建,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
12,福建,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
12,福建,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
12,福建,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
12,福建,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
12,福建,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
13,江西,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
13,江西,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
13,江西,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
13,江西,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
13,江西,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
13,江西,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
13,江西,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
13,江西,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
13,江西,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
13,江西,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
13,江西,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
13,江西,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
14,山东,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
14,山东,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
14,山东,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
14,山东,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
14,山东,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
14,山东,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
14,山东,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
14,山东,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
14,山东,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
14,山东,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
14,山东,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
14,山东,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
15,河南,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
15,河南,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
15,河南,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
15,河南,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
15,河南,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
15,河南,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
15,河南,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
15,河南,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
15,河南,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
15,河南,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
15,河南,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
15,河南,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
16,湖北,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
16,湖北,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
16,湖北,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
16,湖北,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
16,湖北,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
16,湖北,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
16,湖北,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
16,湖北,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
16,湖北,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
16,湖北,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
16,湖北,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
16,湖北,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
17,湖南,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
17,湖南,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
17,湖南,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
17,湖南,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
17,湖南,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
17,湖南,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
17,湖南,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
17,湖南,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
17,湖南,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
17,湖南,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
17,湖南,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
17,湖南,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
18,广东,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
18,广东,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
18,广东,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
18,广东,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
18,广东,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
18,广东,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
18,广东,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
18,广东,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
18,广东,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
18,广东,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
18,广东,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
18,广东,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
19,广西,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
19,广西,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
19,广西,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
19,广西,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
19,广西,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
19,广西,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
19,广西,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
19,广西,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
19,广西,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
19,广西,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
19,广西,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
19,广西,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
20,海南,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
20,海南,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
20,海南,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
20,海南,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
20,海南,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
20,海南,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
20,海南,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
20,海南,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
20,海南,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
20,海南,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
20,海南,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
20,海南,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
21,重庆,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
21,重庆,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
21,重庆,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
21,重庆,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
21,重庆,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
21,重庆,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
21,重庆,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
21,重庆,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
21,重庆,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
21,重庆,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
21,重庆,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
21,重庆,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
22,四川,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
22,四川,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
22,四川,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
22,四川,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
22,四川,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
22,四川,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
22,四川,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
22,四川,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
22,四川,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
22,四川,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
22,四川,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
22,四川,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
23,贵州,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
23,贵州,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
23,贵州,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
23,贵州,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
23,贵州,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
23,贵州,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
23,贵州,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
23,贵州,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
23,贵州,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
23,贵州,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
23,贵州,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
23,贵州,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
24,云南,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
24,云南,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
24,云南,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
24,云南,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
24,云南,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
24,云南,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
24,云南,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
24,云南,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
24,云南,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
24,云南,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
24,云南,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
24,云南,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
25,西藏,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
25,西藏,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
25,西藏,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
25,西藏,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
