index_0,index_1,province,captured_price_fields,derived_price_fields,missing_path_fields,entry_rows,last_entry,annual_owner_A,annual_runtime_cache,terminal_2018_owner_A,ra_upper_observed,ra_upper_contacts,ra_upper_first,ra_upper_last,ra_upper_longest_confirmed,ra_upper_frequency,wjt_upper_observed,wjt_upper_contacts,wjt_upper_first,wjt_upper_last,wjt_upper_longest_confirmed,wjt_upper_frequency,rah_upper_observed,rah_upper_contacts,rah_upper_first,rah_upper_last,rah_upper_longest_confirmed,rah_upper_frequency
21,22,重庆,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
22,23,四川,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
23,24,贵州,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
24,25,云南,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
25,26,西藏,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
26,27,陕西,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
27,28,甘肃,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
28,29,青海,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
29,30,宁夏,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
30,31,新疆,"rah,w",lagged ra only when external weight=0,"ra0,ra,wt0,wjt,At,Bt,household_Lt,action events",23,23,13,15,MISSING,0,0,,,0,,0,0,,,0,,22,0,,,0,0.0
