turn,family,bound,province_index,province
4,ra,lower,4,内蒙古
4,ra,lower,5,辽宁
4,wjt,upper,5,辽宁
4,ra,lower,6,吉林
4,ra,lower,7,黑龙江
4,ra,lower,8,上海
4,wjt,upper,8,上海
4,ra,lower,9,江苏
4,wjt,upper,9,江苏
4,ra,lower,10,浙江
4,wjt,upper,10,浙江
4,ra,lower,11,安徽
4,wjt,upper,11,安徽
4,ra,lower,12,福建
4,wjt,upper,12,福建
4,ra,lower,13,江西
4,wjt,upper,13,江西
4,ra,lower,14,山东
4,wjt,upper,14,山东
4,ra,lower,15,河南
4,wjt,upper,15,河南
4,ra,lower,16,湖北
4,wjt,upper,16,湖北
4,ra,lower,17,湖南
4,wjt,upper,17,湖南
4,ra,lower,18,广东
4,wjt,upper,18,广东
4,ra,lower,19,广西
4,wjt,upper,19,广西
4,ra,lower,20,海南
4,wjt,lower,20,海南
4,ra,lower,21,重庆
4,wjt,upper,21,重庆
4,ra,lower,22,四川
4,wjt,upper,22,四川
4,ra,lower,23,贵州
4,ra,lower,24,云南
4,wjt,upper,24,云南
4,ra,lower,25,西藏
4,wjt,lower,25,西藏
4,ra,lower,26,陕西
4,wjt,upper,26,陕西
4,ra,lower,27,甘肃
4,wjt,lower,27,甘肃
4,ra,lower,28,青海
4,wjt,lower,28,青海
4,ra,lower,29,宁夏
4,wjt,lower,29,宁夏
4,ra,lower,30,新疆
5,ra,lower,0,北京
5,ra,lower,1,天津
5,wjt,lower,1,天津
5,ra,lower,2,河北
5,ra,lower,3,山西
5,wjt,lower,3,山西
5,ra,lower,4,内蒙古
5,wjt,lower,4,内蒙古
5,ra,lower,5,辽宁
5,wjt,lower,5,辽宁
5,ra,lower,6,吉林
5,wjt,lower,6,吉林
5,ra,lower,7,黑龙江
5,wjt,lower,7,黑龙江
5,ra,lower,8,上海
5,ra,lower,9,江苏
5,wjt,upper,9,江苏
5,ra,lower,10,浙江
5,wjt,upper,10,浙江
5,ra,lower,11,安徽
5,ra,lower,12,福建
5,ra,lower,13,江西
5,wjt,lower,13,江西
5,ra,lower,14,山东
5,wjt,upper,14,山东
5,ra,lower,15,河南
5,wjt,upper,15,河南
5,ra,lower,16,湖北
5,ra,lower,17,湖南
5,ra,lower,18,广东
5,wjt,upper,18,广东
5,ra,lower,19,广西
5,wjt,lower,19,广西
5,ra,lower,20,海南
5,wjt,lower,20,海南
5,ra,lower,21,重庆
5,wjt,lower,21,重庆
5,ra,lower,22,四川
5,wjt,upper,22,四川
5,ra,lower,23,贵州
5,wjt,lower,23,贵州
5,ra,lower,24,云南
5,wjt,lower,24,云南
5,ra,lower,25,西藏
5,wjt,lower,25,西藏
5,ra,lower,26,陕西
5,wjt,lower,26,陕西
5,ra,lower,27,甘肃
5,wjt,lower,27,甘肃
5,ra,lower,28,青海
5,wjt,lower,28,青海
5,ra,lower,29,宁夏
5,wjt,lower,29,宁夏
5,ra,lower,30,新疆
5,wjt,lower,30,新疆
6,ra,lower,0,北京
6,ra,lower,1,天津
6,wjt,lower,1,天津
6,ra,lower,2,河北
6,ra,lower,3,山西
6,wjt,lower,3,山西
6,ra,lower,4,内蒙古
6,wjt,lower,4,内蒙古
6,ra,lower,5,辽宁
6,ra,lower,6,吉林
6,wjt,lower,6,吉林
6,ra,lower,7,黑龙江
6,wjt,lower,7,黑龙江
6,ra,lower,8,上海
6,wjt,upper,8,上海
6,ra,lower,9,江苏
6,wjt,upper,9,江苏
6,ra,lower,10,浙江
6,wjt,upper,10,浙江
6,ra,lower,11,安徽
6,ra,lower,12,福建
6,ra,lower,13,江西
6,ra,lower,14,山东
6,wjt,upper,14,山东
6,ra,lower,15,河南
6,wjt,upper,15,河南
6,ra,lower,16,湖北
6,wjt,upper,16,湖北
6,ra,lower,17,湖南
6,ra,lower,18,广东
6,wjt,upper,18,广东
6,ra,lower,19,广西
6,wjt,lower,19,广西
6,ra,lower,20,海南
6,wjt,lower,20,海南
6,ra,lower,21,重庆
6,wjt,lower,21,重庆
6,ra,lower,22,四川
6,wjt,upper,22,四川
6,ra,lower,23,贵州
6,wjt,lower,23,贵州
6,ra,lower,24,云南
6,wjt,lower,24,云南
6,ra,lower,25,西藏
6,wjt,lower,25,西藏
6,ra,lower,26,陕西
6,ra,lower,27,甘肃
6,wjt,lower,27,甘肃
6,ra,lower,28,青海
6,wjt,lower,28,青海
6,ra,lower,29,宁夏
6,wjt,lower,29,宁夏
6,ra,lower,30,新疆
6,wjt,lower,30,新疆
7,ra,lower,0,北京
7,ra,lower,1,天津
7,wjt,lower,1,天津
7,ra,lower,2,河北
7,ra,lower,3,山西
7,wjt,lower,3,山西
7,ra,lower,4,内蒙古
7,wjt,lower,4,内蒙古
7,ra,lower,5,辽宁
7,ra,lower,6,吉林
7,wjt,lower,6,吉林
7,ra,lower,7,黑龙江
7,wjt,lower,7,黑龙江
7,ra,lower,8,上海
7,ra,lower,9,江苏
7,wjt,upper,9,江苏
7,ra,lower,10,浙江
7,wjt,upper,10,浙江
7,ra,lower,11,安徽
7,ra,lower,12,福建
7,ra,lower,13,江西
7,ra,lower,14,山东
7,wjt,upper,14,山东
7,ra,lower,15,河南
7,wjt,upper,15,河南
7,ra,lower,16,湖北
7,wjt,upper,16,湖北
7,ra,lower,17,湖南
7,ra,lower,18,广东
7,wjt,upper,18,广东
7,ra,lower,19,广西
7,wjt,lower,19,广西
7,ra,lower,20,海南
7,wjt,lower,20,海南
7,ra,lower,21,重庆
7,wjt,lower,21,重庆
7,ra,lower,22,四川
7,wjt,upper,22,四川
7,ra,lower,23,贵州
7,wjt,lower,23,贵州
7,ra,lower,24,云南
7,wjt,lower,24,云南
7,ra,lower,25,西藏
7,wjt,lower,25,西藏
7,ra,lower,26,陕西
7,ra,lower,27,甘肃
7,wjt,lower,27,甘肃
7,ra,lower,28,青海
7,wjt,lower,28,青海
7,ra,lower,29,宁夏
7,wjt,lower,29,宁夏
7,ra,lower,30,新疆
7,wjt,lower,30,新疆
8,ra,lower,0,北京
8,ra,lower,1,天津
8,wjt,lower,1,天津
8,ra,lower,2,河北
8,ra,lower,3,山西
8,wjt,lower,3,山西
8,ra,lower,4,内蒙古
8,wjt,lower,4,内蒙古
8,ra,lower,5,辽宁
8,ra,lower,6,吉林
8,wjt,lower,6,吉林
8,ra,lower,7,黑龙江
8,wjt,lower,7,黑龙江
8,ra,lower,8,上海
8,ra,lower,9,江苏
8,wjt,upper,9,江苏
8,ra,lower,10,浙江
8,wjt,upper,10,浙江
8,ra,lower,11,安徽
8,ra,lower,12,福建
8,ra,lower,13,江西
8,ra,lower,14,山东
8,wjt,upper,14,山东
8,ra,lower,15,河南
8,wjt,upper,15,河南
8,ra,lower,16,湖北
8,wjt,upper,16,湖北
8,ra,lower,17,湖南
8,ra,lower,18,广东
8,wjt,upper,18,广东
8,ra,lower,19,广西
8,wjt,lower,19,广西
8,ra,lower,20,海南
8,wjt,lower,20,海南
8,ra,lower,21,重庆
8,wjt,lower,21,重庆
8,ra,lower,22,四川
8,wjt,upper,22,四川
8,ra,lower,23,贵州
8,wjt,lower,23,贵州
8,ra,lower,24,云南
8,ra,lower,25,西藏
8,wjt,lower,25,西藏
8,ra,lower,26,陕西
8,ra,lower,27,甘肃
8,wjt,lower,27,甘肃
8,ra,lower,28,青海
8,wjt,lower,28,青海
8,ra,lower,29,宁夏
8,wjt,lower,29,宁夏
8,ra,lower,30,新疆
8,wjt,lower,30,新疆
9,ra,lower,0,北京
9,ra,lower,1,天津
9,wjt,lower,1,天津
9,ra,lower,2,河北
9,ra,lower,3,山西
9,wjt,lower,3,山西
9,ra,lower,4,内蒙古
9,wjt,lower,4,内蒙古
9,ra,lower,5,辽宁
9,ra,lower,6,吉林
9,wjt,lower,6,吉林
9,ra,lower,7,黑龙江
9,wjt,lower,7,黑龙江
9,ra,lower,8,上海
9,ra,lower,9,江苏
9,wjt,upper,9,江苏
9,ra,lower,10,浙江
9,wjt,upper,10,浙江
9,ra,lower,11,安徽
9,ra,lower,12,福建
9,ra,lower,13,江西
9,ra,lower,14,山东
9,wjt,upper,14,山东
9,ra,lower,15,河南
9,wjt,upper,15,河南
9,ra,lower,16,湖北
9,wjt,upper,16,湖北
9,ra,lower,17,湖南
9,ra,lower,18,广东
9,wjt,upper,18,广东
9,ra,lower,19,广西
9,wjt,lower,19,广西
9,ra,lower,20,海南
9,wjt,lower,20,海南
9,ra,lower,21,重庆
9,wjt,lower,21,重庆
9,ra,lower,22,四川
9,wjt,upper,22,四川
9,ra,lower,23,贵州
9,wjt,lower,23,贵州
9,ra,lower,24,云南
9,ra,lower,25,西藏
9,wjt,lower,25,西藏
9,ra,lower,26,陕西
9,ra,lower,27,甘肃
9,wjt,lower,27,甘肃
9,ra,lower,28,青海
9,wjt,lower,28,青海
9,ra,lower,29,宁夏
9,wjt,lower,29,宁夏
9,ra,lower,30,新疆
9,wjt,lower,30,新疆
10,ra,lower,0,北京
10,ra,lower,1,天津
10,wjt,lower,1,天津
10,ra,lower,2,河北
10,ra,lower,3,山西
10,wjt,lower,3,山西
10,ra,lower,4,内蒙古
10,wjt,lower,4,内蒙古
10,ra,lower,5,辽宁
10,ra,lower,6,吉林
10,wjt,lower,6,吉林
10,ra,lower,7,黑龙江
10,wjt,lower,7,黑龙江
10,ra,lower,8,上海
10,ra,lower,9,江苏
10,wjt,upper,9,江苏
10,ra,lower,10,浙江
10,wjt,upper,10,浙江
10,ra,lower,11,安徽
10,ra,lower,12,福建
10,ra,lower,13,江西
10,ra,lower,14,山东
10,wjt,upper,14,山东
10,ra,lower,15,河南
10,wjt,upper,15,河南
10,ra,lower,16,湖北
10,wjt,upper,16,湖北
10,ra,lower,17,湖南
10,ra,lower,18,广东
10,wjt,upper,18,广东
10,ra,lower,19,广西
10,wjt,lower,19,广西
10,ra,lower,20,海南
10,wjt,lower,20,海南
10,ra,lower,21,重庆
10,wjt,lower,21,重庆
10,ra,lower,22,四川
10,wjt,upper,22,四川
10,ra,lower,23,贵州
10,wjt,lower,23,贵州
10,ra,lower,24,云南
10,ra,lower,25,西藏
10,wjt,lower,25,西藏
10,ra,lower,26,陕西
10,ra,lower,27,甘肃
10,wjt,lower,27,甘肃
10,ra,lower,28,青海
10,wjt,lower,28,青海
10,ra,lower,29,宁夏
10,wjt,lower,29,宁夏
10,ra,lower,30,新疆
10,wjt,lower,30,新疆
11,ra,lower,0,北京
11,ra,lower,1,天津
11,wjt,lower,1,天津
11,ra,lower,2,河北
11,ra,lower,3,山西
11,wjt,lower,3,山西
11,ra,lower,4,内蒙古
11,wjt,lower,4,内蒙古
11,ra,lower,5,辽宁
11,ra,lower,6,吉林
11,wjt,lower,6,吉林
11,ra,lower,7,黑龙江
11,wjt,lower,7,黑龙江
11,ra,lower,8,上海
11,ra,lower,9,江苏
11,wjt,upper,9,江苏
11,ra,lower,10,浙江
11,wjt,upper,10,浙江
11,ra,lower,11,安徽
11,ra,lower,12,福建
11,ra,lower,13,江西
11,ra,lower,14,山东
11,wjt,upper,14,山东
11,ra,lower,15,河南
11,wjt,upper,15,河南
11,ra,lower,16,湖北
11,wjt,upper,16,湖北
11,ra,lower,17,湖南
11,ra,lower,18,广东
11,wjt,upper,18,广东
11,ra,lower,19,广西
11,wjt,lower,19,广西
11,ra,lower,20,海南
11,wjt,lower,20,海南
11,ra,lower,21,重庆
11,wjt,lower,21,重庆
11,ra,lower,22,四川
11,wjt,upper,22,四川
11,ra,lower,23,贵州
11,wjt,lower,23,贵州
11,ra,lower,24,云南
11,ra,lower,25,西藏
11,wjt,lower,25,西藏
11,ra,lower,26,陕西
11,ra,lower,27,甘肃
11,wjt,lower,27,甘肃
11,ra,lower,28,青海
11,wjt,lower,28,青海
11,ra,lower,29,宁夏
11,wjt,lower,29,宁夏
11,ra,lower,30,新疆
11,wjt,lower,30,新疆
12,ra,lower,0,北京
12,ra,lower,1,天津
12,wjt,lower,1,天津
12,ra,lower,2,河北
12,ra,lower,3,山西
12,wjt,lower,3,山西
12,ra,lower,4,内蒙古
12,wjt,lower,4,内蒙古
12,ra,lower,5,辽宁
12,ra,lower,6,吉林
12,wjt,lower,6,吉林
12,ra,lower,7,黑龙江
12,wjt,lower,7,黑龙江
12,ra,lower,8,上海
12,ra,lower,9,江苏
12,wjt,upper,9,江苏
12,ra,lower,10,浙江
12,wjt,upper,10,浙江
12,ra,lower,11,安徽
12,ra,lower,12,福建
12,ra,lower,13,江西
12,ra,lower,14,山东
12,wjt,upper,14,山东
12,ra,lower,15,河南
12,wjt,upper,15,河南
12,ra,lower,16,湖北
12,wjt,upper,16,湖北
12,ra,lower,17,湖南
12,ra,lower,18,广东
12,wjt,upper,18,广东
12,ra,lower,19,广西
12,wjt,lower,19,广西
12,ra,lower,20,海南
12,wjt,lower,20,海南
12,ra,lower,21,重庆
12,wjt,lower,21,重庆
12,ra,lower,22,四川
12,wjt,upper,22,四川
12,ra,lower,23,贵州
12,wjt,lower,23,贵州
12,ra,lower,24,云南
12,ra,lower,25,西藏
12,wjt,lower,25,西藏
12,ra,lower,26,陕西
12,ra,lower,27,甘肃
12,wjt,lower,27,甘肃
12,ra,lower,28,青海
12,wjt,lower,28,青海
12,ra,lower,29,宁夏
12,wjt,lower,29,宁夏
12,ra,lower,30,新疆
12,wjt,lower,30,新疆
13,ra,lower,0,北京
13,ra,lower,1,天津
13,wjt,lower,1,天津
13,ra,lower,2,河北
13,ra,lower,3,山西
13,wjt,lower,3,山西
13,ra,lower,4,内蒙古
13,wjt,lower,4,内蒙古
13,ra,lower,5,辽宁
13,ra,lower,6,吉林
13,wjt,lower,6,吉林
13,ra,lower,7,黑龙江
13,wjt,lower,7,黑龙江
13,ra,lower,8,上海
13,ra,lower,9,江苏
13,wjt,upper,9,江苏
13,ra,lower,10,浙江
13,wjt,upper,10,浙江
13,ra,lower,11,安徽
13,ra,lower,12,福建
13,ra,lower,13,江西
13,ra,lower,14,山东
13,wjt,upper,14,山东
13,ra,lower,15,河南
13,wjt,upper,15,河南
13,ra,lower,16,湖北
13,wjt,upper,16,湖北
13,ra,lower,17,湖南
13,ra,lower,18,广东
13,wjt,upper,18,广东
13,ra,lower,19,广西
13,wjt,lower,19,广西
13,ra,lower,20,海南
13,wjt,lower,20,海南
13,ra,lower,21,重庆
13,wjt,lower,21,重庆
13,ra,lower,22,四川
13,wjt,upper,22,四川
13,ra,lower,23,贵州
13,wjt,lower,23,贵州
13,ra,lower,24,云南
13,ra,lower,25,西藏
13,wjt,lower,25,西藏
13,ra,lower,26,陕西
13,ra,lower,27,甘肃
13,wjt,lower,27,甘肃
13,ra,lower,28,青海
13,wjt,lower,28,青海
13,ra,lower,29,宁夏
13,wjt,lower,29,宁夏
13,ra,lower,30,新疆
13,wjt,lower,30,新疆
14,ra,lower,0,北京
14,ra,lower,1,天津
14,wjt,lower,1,天津
14,ra,lower,2,河北
14,ra,lower,3,山西
14,wjt,lower,3,山西
14,ra,lower,4,内蒙古
14,wjt,lower,4,内蒙古
14,ra,lower,5,辽宁
14,ra,lower,6,吉林
14,wjt,lower,6,吉林
14,ra,lower,7,黑龙江
14,wjt,lower,7,黑龙江
14,ra,lower,8,上海
14,ra,lower,9,江苏
14,wjt,upper,9,江苏
14,ra,lower,10,浙江
14,wjt,upper,10,浙江
14,ra,lower,11,安徽
14,ra,lower,12,福建
14,ra,lower,13,江西
14,ra,lower,14,山东
14,wjt,upper,14,山东
14,ra,lower,15,河南
14,wjt,upper,15,河南
14,ra,lower,16,湖北
14,wjt,upper,16,湖北
14,ra,lower,17,湖南
14,ra,lower,18,广东
14,wjt,upper,18,广东
14,ra,lower,19,广西
14,wjt,lower,19,广西
14,ra,lower,20,海南
14,wjt,lower,20,海南
14,ra,lower,21,重庆
14,wjt,lower,21,重庆
14,ra,lower,22,四川
14,wjt,upper,22,四川
14,ra,lower,23,贵州
14,wjt,lower,23,贵州
14,ra,lower,24,云南
14,ra,lower,25,西藏
14,wjt,lower,25,西藏
14,ra,lower,26,陕西
14,ra,lower,27,甘肃
14,wjt,lower,27,甘肃
14,ra,lower,28,青海
14,wjt,lower,28,青海
14,ra,lower,29,宁夏
14,wjt,lower,29,宁夏
14,ra,lower,30,新疆
14,wjt,lower,30,新疆
15,ra,lower,0,北京
15,ra,lower,1,天津
15,wjt,lower,1,天津
15,ra,lower,2,河北
15,ra,lower,3,山西
15,wjt,lower,3,山西
15,ra,lower,4,内蒙古
15,wjt,lower,4,内蒙古
15,ra,lower,5,辽宁
15,ra,lower,6,吉林
15,wjt,lower,6,吉林
15,ra,lower,7,黑龙江
15,wjt,lower,7,黑龙江
15,ra,lower,8,上海
15,ra,lower,9,江苏
15,wjt,upper,9,江苏
15,ra,lower,10,浙江
15,wjt,upper,10,浙江
15,ra,lower,11,安徽
15,ra,lower,12,福建
15,ra,lower,13,江西
15,ra,lower,14,山东
15,wjt,upper,14,山东
15,ra,lower,15,河南
15,wjt,upper,15,河南
15,ra,lower,16,湖北
15,wjt,upper,16,湖北
15,ra,lower,17,湖南
15,ra,lower,18,广东
15,wjt,upper,18,广东
15,ra,lower,19,广西
15,wjt,lower,19,广西
15,ra,lower,20,海南
15,wjt,lower,20,海南
15,ra,lower,21,重庆
15,wjt,lower,21,重庆
15,ra,lower,22,四川
15,wjt,upper,22,四川
15,ra,lower,23,贵州
15,wjt,lower,23,贵州
15,ra,lower,24,云南
15,ra,lower,25,西藏
15,wjt,lower,25,西藏
15,ra,lower,26,陕西
15,ra,lower,27,甘肃
15,wjt,lower,27,甘肃
15,ra,lower,28,青海
15,wjt,lower,28,青海
15,ra,lower,29,宁夏
15,wjt,lower,29,宁夏
15,ra,lower,30,新疆
15,wjt,lower,30,新疆
16,ra,lower,0,北京
16,ra,lower,1,天津
16,wjt,lower,1,天津
16,ra,lower,2,河北
16,ra,lower,3,山西
16,wjt,lower,3,山西
16,ra,lower,4,内蒙古
16,wjt,lower,4,内蒙古
16,ra,lower,5,辽宁
16,ra,lower,6,吉林
16,wjt,lower,6,吉林
16,ra,lower,7,黑龙江
16,wjt,lower,7,黑龙江
16,ra,lower,8,上海
16,ra,lower,9,江苏
16,wjt,upper,9,江苏
16,ra,lower,10,浙江
16,wjt,upper,10,浙江
16,ra,lower,11,安徽
16,ra,lower,12,福建
16,ra,lower,13,江西
16,ra,lower,14,山东
16,wjt,upper,14,山东
16,ra,lower,15,河南
16,wjt,upper,15,河南
16,ra,lower,16,湖北
16,wjt,upper,16,湖北
16,ra,lower,17,湖南
16,ra,lower,18,广东
16,wjt,upper,18,广东
16,ra,lower,19,广西
16,wjt,lower,19,广西
16,ra,lower,20,海南
16,wjt,lower,20,海南
16,ra,lower,21,重庆
16,wjt,lower,21,重庆
16,ra,lower,22,四川
16,wjt,upper,22,四川
16,ra,lower,23,贵州
16,wjt,lower,23,贵州
16,ra,lower,24,云南
16,ra,lower,25,西藏
16,wjt,lower,25,西藏
16,ra,lower,26,陕西
16,ra,lower,27,甘肃
16,wjt,lower,27,甘肃
16,ra,lower,28,青海
16,wjt,lower,28,青海
16,ra,lower,29,宁夏
16,wjt,lower,29,宁夏
16,ra,lower,30,新疆
16,wjt,lower,30,新疆
17,ra,lower,0,北京
17,ra,lower,1,天津
17,wjt,lower,1,天津
17,ra,lower,2,河北
17,ra,lower,3,山西
17,wjt,lower,3,山西
17,ra,lower,4,内蒙古
17,wjt,lower,4,内蒙古
17,ra,lower,5,辽宁
17,ra,lower,6,吉林
17,wjt,lower,6,吉林
17,ra,lower,7,黑龙江
17,wjt,lower,7,黑龙江
17,ra,lower,8,上海
17,ra,lower,9,江苏
17,wjt,upper,9,江苏
17,ra,lower,10,浙江
17,wjt,upper,10,浙江
17,ra,lower,11,安徽
17,ra,lower,12,福建
17,ra,lower,13,江西
17,ra,lower,14,山东
17,wjt,upper,14,山东
17,ra,lower,15,河南
17,wjt,upper,15,河南
17,ra,lower,16,湖北
17,wjt,upper,16,湖北
17,ra,lower,17,湖南
17,ra,lower,18,广东
17,wjt,upper,18,广东
17,ra,lower,19,广西
17,wjt,lower,19,广西
17,ra,lower,20,海南
17,wjt,lower,20,海南
17,ra,lower,21,重庆
17,wjt,lower,21,重庆
17,ra,lower,22,四川
17,wjt,upper,22,四川
17,ra,lower,23,贵州
17,wjt,lower,23,贵州
17,ra,lower,24,云南
17,ra,lower,25,西藏
17,wjt,lower,25,西藏
17,ra,lower,26,陕西
17,ra,lower,27,甘肃
17,wjt,lower,27,甘肃
17,ra,lower,28,青海
17,wjt,lower,28,青海
17,ra,lower,29,宁夏
17,wjt,lower,29,宁夏
17,ra,lower,30,新疆
17,wjt,lower,30,新疆
18,ra,lower,0,北京
18,ra,lower,1,天津
18,wjt,lower,1,天津
18,ra,lower,2,河北
18,ra,lower,3,山西
18,wjt,lower,3,山西
18,ra,lower,4,内蒙古
18,wjt,lower,4,内蒙古
18,ra,lower,5,辽宁
18,ra,lower,6,吉林
18,wjt,lower,6,吉林
18,ra,lower,7,黑龙江
18,wjt,lower,7,黑龙江
18,ra,lower,8,上海
18,ra,lower,9,江苏
18,wjt,upper,9,江苏
18,ra,lower,10,浙江
18,wjt,upper,10,浙江
18,ra,lower,11,安徽
18,ra,lower,12,福建
18,ra,lower,13,江西
18,ra,lower,14,山东
18,wjt,upper,14,山东
18,ra,lower,15,河南
18,wjt,upper,15,河南
18,ra,lower,16,湖北
18,wjt,upper,16,湖北
18,ra,lower,17,湖南
18,ra,lower,18,广东
18,wjt,upper,18,广东
18,ra,lower,19,广西
18,wjt,lower,19,广西
18,ra,lower,20,海南
18,wjt,lower,20,海南
18,ra,lower,21,重庆
18,wjt,lower,21,重庆
18,ra,lower,22,四川
18,wjt,upper,22,四川
18,ra,lower,23,贵州
18,wjt,lower,23,贵州
18,ra,lower,24,云南
18,ra,lower,25,西藏
18,wjt,lower,25,西藏
18,ra,lower,26,陕西
18,ra,lower,27,甘肃
18,wjt,lower,27,甘肃
18,ra,lower,28,青海
18,wjt,lower,28,青海
18,ra,lower,29,宁夏
18,wjt,lower,29,宁夏
18,ra,lower,30,新疆
18,wjt,lower,30,新疆
19,ra,lower,0,北京
19,ra,lower,1,天津
19,wjt,lower,1,天津
19,ra,lower,2,河北
19,ra,lower,3,山西
19,wjt,lower,3,山西
19,ra,lower,4,内蒙古
19,wjt,lower,4,内蒙古
19,ra,lower,5,辽宁
19,ra,lower,6,吉林
19,wjt,lower,6,吉林
19,ra,lower,7,黑龙江
19,wjt,lower,7,黑龙江
19,ra,lower,8,上海
19,ra,lower,9,江苏
19,wjt,upper,9,江苏
19,ra,lower,10,浙江
19,wjt,upper,10,浙江
19,ra,lower,11,安徽
19,ra,lower,12,福建
19,ra,lower,13,江西
19,ra,lower,14,山东
19,wjt,upper,14,山东
19,ra,lower,15,河南
19,wjt,upper,15,河南
19,ra,lower,16,湖北
19,wjt,upper,16,湖北
19,ra,lower,17,湖南
19,ra,lower,18,广东
