turn,source_converged,adaptation_gate_open,zt_adjusted_count,govinv_decrease_count,govinv_increase_count,govinv_hold_count,max_nk_gap,max_yt_gap
61,False,True,31,31,0,0,0.051417907587065104,4.7160388888745075e-05
62,False,False,0,0,0,31,0.11913386919445434,4.718466536934862e-05
63,False,True,31,31,0,0,0.05141785534917531,4.71618924153816e-05
64,False,False,0,0,0,31,0.11913421986061135,4.718911380774404e-05
65,False,True,31,31,0,0,0.05141779730178209,4.7163562160390526e-05
66,False,False,0,0,0,31,0.11913460949129184,4.719405580722036e-05
67,False,True,31,31,0,0,0.05141773279814199,4.71654163953783e-05
68,False,False,0,0,0,31,0.11913504241626738,4.719954604148757e-05
69,False,True,31,31,0,0,0.051417661119360636,4.7167475376141965e-05
70,False,False,0,0,0,31,0.11913552344648481,4.720564522042725e-05
71,False,True,31,31,0,0,0.051417581466306594,4.716976155094699e-05
72,False,False,0,0,0,31,0.11913605792755344,4.72124207505642e-05
73,False,True,31,31,0,0,0.051417492950612376,4.71722997936741e-05
74,False,False,0,0,0,31,0.11913665179917454,4.721994746959002e-05
75,False,True,31,31,0,0,0.05141739458465211,4.7175117653841525e-05
76,False,False,0,0,0,31,0.11913731166118902,4.7228308454827506e-05
77,False,True,31,31,0,0,0.05141728527038847,4.71782456334946e-05
78,False,False,0,0,0,31,0.11913804484696056,4.7237595926064024e-05
79,False,True,31,31,0,0,0.05141716378694261,4.718171749384936e-05
80,False,False,0,0,0,31,0.11913885950493286,4.724791223709168e-05
81,False,True,31,31,0,0,0.051417028776746254,4.718557058014383e-05
82,False,False,0,0,0,31,0.11913976468925602,4.7259370974050974e-05
83,False,True,31,31,0,0,0.051416878730119575,4.718984618712341e-05
84,False,False,0,0,0,31,0.1191407704604942,4.727209817656508e-05
85,False,True,31,31,0,0,0.05141671196806041,4.719458994717485e-05
86,False,False,0,0,0,31,0.11914188799754777,4.728623367400431e-05
87,False,True,31,31,0,0,0.05141652662306828,4.719985225443146e-05
88,False,False,0,0,0,31,0.11914312972203234,4.7301932575183336e-05
89,False,True,31,31,0,0,0.0514163206177366,4.7205688721296823e-05
90,False,False,0,0,0,31,0.1191445094364999,4.7319366899611914e-05
91,False,True,31,31,0,0,0.05141609164086869,4.721216066827516e-05
92,False,False,0,0,0,31,0.11914604247806904,4.733872738360567e-05
93,False,True,31,31,0,0,0.051415837120804,4.721933564910685e-05
94,False,False,0,0,0,31,0.11914774588914878,4.7360225468917605e-05
95,False,True,31,31,0,0,0.05141555419561228,4.722728800499176e-05
96,False,False,0,0,0,31,0.1191496386072074,4.7384095480440536e-05
97,False,True,31,31,0,0,0.051415239679778346,4.723609945167517e-05
98,False,False,0,0,0,31,0.1191517416756862,4.7410597038166635e-05
99,False,True,31,31,0,0,0.05141489002693289,4.7245859688516134e-05
100,False,False,0,0,0,31,0.1191540784784344,4.744001768064443e-05
