turn,ra_lower_hit_count,ra_upper_hit_count,wjt_lower_hit_count,wjt_upper_hit_count,ra_lower_hit_provinces,ra_upper_hit_provinces,wjt_lower_hit_provinces,wjt_upper_hit_provinces,household_convergence_count,max_abs_kn_gap,max_abs_y_y_prev_gap,max_abs_y_y0_gap,source_converged,zt_adjusted_count,kfe_diagnostic_only_count,kfe_upper_b_leak_cells,hjb_negative_offdiagonals,govinv_decrease_count,govinv_increase_count,govinv_hold_count,raw_ra_min,raw_ra_median,raw_ra_max,used_ra_min,used_ra_median,used_ra_max,raw_wjt_min,raw_wjt_median,raw_wjt_max,used_wjt_min,used_wjt_median,used_wjt_max,household_rah_min,household_rah_median,household_rah_max,household_w_min,household_w_median,household_w_max,At_min,At_median,At_max,Bt_min,Bt_median,Bt_max,Lt_min,Lt_median,Lt_max,Ct_min,Ct_median,Ct_max,GovInv_min,GovInv_median,GovInv_max
11,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.05251438653614371,6.304247588861944e-05,0.07838434022360241,False,31,31,620,589,31,0,0,-0.024983849897464442,-0.024974434236592614,-0.02492230173644996,0.02,0.02,0.02,0.05570717103338601,0.8468244509593364,3.488768843234643,0.8,0.8468244509593364,1.3,0.014542152579213808,0.0184420457528848,0.02,10.39832223608224,13.821588537829104,14.681959133441342,0.005762349644980217,0.011108869499902543,0.014021289052953072,1.8100363296655235,1.8579043510855495,1.872081682456734,0.7123015393669115,0.7184022874853636,0.7478611614643185,7.498017335267464,9.542274073283657,10.043640035666211,50251601391.84703,558908556418.4792,1831697439612.6853
12,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.11959421168962536,0.00024234974274084387,0.07824471294840207,False,0,31,620,589,0,0,31,-0.024982056393088616,-0.02497159505425118,-0.024913685196697007,0.02,0.02,0.02,0.05562814045911097,0.845520462627152,3.4838121757893146,0.8,0.845520462627152,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403961107502132,13.829908705005172,14.690734617075695,0.005765016579051329,0.011113897751181545,0.014027491408008089,1.8101150511163473,1.8579748033005619,1.8721543905814138,0.7122412790198385,0.7183411267145332,0.7478040901830926,7.5014575337860085,9.547144939361859,10.04873307029257,45226441252.66233,503017700776.63135,1648527695651.4167
13,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.05157081073905001,4.7817123961957364e-05,0.07821761817969686,False,31,31,620,589,31,0,0,-0.024982054713660277,-0.024971592397738277,-0.02491368418467216,0.02,0.02,0.02,0.05570908684188975,0.8469252228591502,3.4888878063551876,0.8,0.8469252228591502,1.3,0.014542152579213808,0.0184420457528848,0.02,10.39813331471994,13.821202295482301,14.681547730436957,0.005762231292206841,0.01110881419426345,0.014021059178538678,1.8100328336357168,1.8579005520803615,1.8720783034139343,0.7123043654257879,0.7184051277240338,0.7478630741468861,7.497902072223431,9.54204794558857,10.043401258606586,45226441252.66233,503017700776.63135,1648527695651.4167
14,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.11921227663086609,4.921811355063088e-05,0.07824600648728475,False,0,31,620,589,0,0,31,-0.02498006269156628,-0.02496843900044736,-0.024904093314579885,0.02,0.02,0.02,0.05562750868404048,0.8454496694518151,3.4837770979961786,0.8,0.8454496694518151,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403920659631321,13.829813024609676,14.690643428352125,0.005764988542610972,0.011113813609556957,0.014027429544703401,1.8101142241226302,1.857973912296895,1.8721535553273632,0.7122419049947389,0.7183418298165618,0.7478044994343991,7.501432858058032,9.547088927699514,10.048680149272531,40703797127.396095,452715930698.9682,1483674926086.2751
15,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.0514446714773078,4.7130229255065714e-05,0.07820584956523002,False,31,31,620,589,31,0,0,-0.024980060833776616,-0.024968436060813805,-0.024904091700153175,0.02,0.02,0.02,0.05570904703407493,0.8469169125278464,3.4888885870121595,0.8,0.8469169125278464,1.3,0.014542152579213808,0.0184420457528848,0.02,10.398146769466907,13.82124477139104,14.681588695536272,0.00576224354172147,0.01110882646667229,0.01402108504181599,1.810033195488509,1.8579009801022124,1.8720786750278477,0.7123040840194094,0.7184048153724543,0.7478629379266989,7.4979102811256695,9.542072813386287,10.043425034669566,40703797127.396095,452715930698.9682,1483674926086.2751
16,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.11914544538096006,4.69679589333305e-05,0.0782458589543722,False,0,31,620,589,0,0,31,-0.024977847430977865,-0.024964932216027413,-0.024893437259988615,0.02,0.02,0.02,0.05562757774310712,0.8454590280872504,3.4837845072586036,0.8,0.8454590280872504,1.3,0.014542152579213808,0.0184420457528848,0.02,10.40392453061785,13.829819016145178,14.69065008761948,0.005764990890185393,0.011113820845855204,0.014027433860505385,1.8101142933653078,1.857973972268293,1.8721536076327387,0.7122418592813262,0.7183417857879364,0.7478044602677029,7.501435219602252,9.547092435168523,10.048684013953967,36633417414.65649,407444337629.0714,1335307433477.6477
17,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.051422891592818765,4.71502564416415e-05,0.07820260748690144,False,31,31,620,589,31,0,0,-0.024977845366531935,-0.02496492894937089,-0.02489343551717598,0.02,0.02,0.02,0.05570909275546784,0.8469193483519166,3.4888949296573433,0.8,0.8469193483519166,1.3,0.014542152579213808,0.0184420457528848,0.02,10.398149767676397,13.821247333636801,14.681591643209334,0.005762244379154407,0.011108829809423633,0.014021087515147482,1.8100332202243654,1.857900994689833,1.8720786974457138,0.712304063770643,0.7184047965307119,0.7478629075718863,7.497912110369005,9.54207431346945,10.04342674549288,36633417414.65649,407444337629.0714,1335307433477.6477
18,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.11913357913779388,4.715705855140584e-05,0.07824586727373539,False,0,31,620,589,0,0,31,-0.024975386034369256,-0.024961035795210584,-0.024881596916964756,0.02,0.02,0.02,0.05562761326454609,0.8454582464249993,3.4837902363870294,0.8,0.8454582464249993,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403927725773572,13.829823287970163,14.69065474208233,0.005764992303681477,0.011113822986750888,0.014027437114500139,1.810114335062458,1.8579740080521323,1.8721536449231952,0.7122418273301716,0.7183417543965698,0.7478044279390874,7.501437168847202,9.547094935911897,10.048686715154279,32970075673.190838,366699903866.1643,1201776690129.883
19,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.05141913564562994,4.714828096985535e-05,0.07820244304445934,False,31,31,620,589,31,0,0,-0.024975383740536632,-0.02496103216555109,-0.024881594969689547,0.02,0.02,0.02,0.055709134107327384,0.8469197759794939,3.488901399295928,0.8,0.8469197759794939,1.3,0.014542152579213808,0.0184420457528848,0.02,10.39815269846314,13.821252102586072,14.681596631537149,0.005762245908095973,0.011108832467072846,0.014021090918987147,1.8100332653877271,1.8579010373008789,1.8720787391706624,0.7123040295038039,0.7184047614617552,0.747862877899694,7.497913898476826,9.542077105481182,10.043429640707782,32970075673.190838,366699903866.1643,1201776690129.883
20,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.1191315131965972,4.7148333330637726e-05,0.07824586937102451,False,0,31,620,589,0,0,31,-0.02497265114897132,-0.024956706438242392,-0.024868441014004237,0.02,0.02,0.02,0.05562765586568295,0.8454590304826195,3.4837967906589062,0.8,0.8454590304826195,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403931150778021,13.829828448878962,14.69066021769557,0.00576499398288152,0.01111382605855259,0.014027440902915377,1.8101143845929257,1.857974053070168,1.8721536899792544,0.7122417897421393,0.7183417164718087,0.7478043932848708,7.501439258314218,9.547097957128422,10.048689892906049,29673068105.871754,330029913479.5479,1081599021116.8948
21,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.051418464376186246,4.7148477940073263e-05,0.07820241137476569,False,31,31,620,589,31,0,0,-0.024972648600220953,-0.02495670240517289,-0.024868438850700367,0.02,0.02,0.02,0.055709180441092555,0.8469204931304305,3.488908611420351,0.8,0.8469204931304305,1.3,0.014542152579213808,0.0184420457528848,0.02,10.39815613498576,13.821257221484508,14.6816020664698,0.005762247570206971,0.011108835488003354,0.014021094696114894,1.8100333144853837,1.8579010817359776,1.8720787839536457,0.7123039921690723,0.7184047238194318,0.7478628431072888,7.497915995139968,9.542080102372656,10.04343279513101,29673068105.871754,330029913479.5479,1081599021116.8948
22,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.11913117755328462,4.714950460471545e-05,0.07824587236644143,False,0,31,620,589,0,0,31,-0.024969612387368473,-0.024951896041447073,-0.024853823335747732,0.02,0.02,0.02,0.0556277030489775,0.8454596902954924,3.483804064045328,0.8,0.8454596902954924,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403934974326242,13.82983417973145,14.690666297880863,0.005764995842369265,0.011113829404301986,0.014027445117442746,1.8101144394465873,1.8579741028517336,1.8721537400043493,0.7122417480039621,0.7183416743588635,0.7478043545982012,7.5014415909177465,9.547101311991927,10.048693421518768,26705761295.28458,297026922131.59314,973439119005.2053
23,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.05141833965740916,4.714866139288176e-05,0.07820241435699349,False,31,31,620,589,31,0,0,-0.02496960955536655,-0.024951891560119555,-0.024853820930751905,0.02,0.02,0.02,0.05570923188862992,0.8469212496545655,3.4889166228387065,0.8,0.8469212496545655,1.3,0.014542152579213808,0.0184420457528848,0.02,10.398159925219373,13.82126291596415,14.68160810496192,0.005762249418254979,0.011108838818045853,0.014021098883522431,1.8100333690780552,1.8579011313446858,1.8720788337742786,0.7123039506882625,0.7184046819445307,0.7478628047338185,7.497918307606309,9.542083436241642,10.043436299858705,26705761295.28458,297026922131.59314,973439119005.2053
24,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.11913115391679785,4.7150015239583176e-05,0.07824587566346997,False,0,31,620,589,0,0,31,-0.02496623598549713,-0.02494655115587106,-0.024837581468910245,0.02,0.02,0.02,0.05562775548441811,0.845460453390192,3.483812146172061,0.8,0.845460453390192,1.3,0.014542152579213808,0.0184420457528848,0.02,10.403939217227993,13.829840548669264,14.690673053221342,0.005764997909288972,0.011113833130571894,0.014027449799471129,1.8101145004093588,1.857974158207366,1.872153795602784,0.7122417016311258,0.7183416275569916,0.7478043116685302,7.501444179353005,9.547105040392918,10.048697341955,24035185165.756123,267324229918.43384,876095207104.6848
25,31,0,14,7,北京|天津|河北|山西|内蒙古|辽宁|吉林|黑龙江|上海|江苏|浙江|安徽|福建|江西|山东|河南|湖北|湖南|广东|广西|海南|重庆|四川|贵州|云南|西藏|陕西|甘肃|青海|宁夏|新疆,,天津|山西|内蒙古|吉林|黑龙江|广西|海南|重庆|贵州|西藏|甘肃|青海|宁夏|新疆,江苏|浙江|山东|河南|湖北|广东|四川,31,0.05141831156265109,4.714886437895416e-05,0.07820241762826785,False,31,31,620,589,31,0,0,-0.024966232838757676,-0.02494654617644616,-0.024837578795353043,0.02,0.02,0.02,0.05570928905406578,0.8469220949061307,3.488925524538388,0.8,0.8469220949061307,1.3,0.014542152579213808,0.0184420457528848,0.02,10.398164141318736,13.821269242445648,14.681614815083051,0.005762251471801068,0.011108842520483685,0.014021103537779335,1.81003342974008,1.8579011864297381,1.8720788891219535,0.712303904593792,0.7184046354221694,0.747862762048773,7.497920879898233,9.542087140119824,10.04344019439813,24035185165.756123,267324229918.43384,876095207104.6848
