snapshot,face,z_index,cells,budget_min,budget_max,outward_exact,outward_material,negative_rows,omitted_rows
matlab_trajectory_52,upper_a,1,20,-1658.882715438991,0.81,12,12,12,0
matlab_trajectory_57,lower_b,0,20,0.0,2.8967793441783325,0,0,1,0
matlab_trajectory_57,lower_b,1,20,0.0,9.641493126043677,0,0,1,0
matlab_trajectory_57,upper_b,0,20,-1747.029875382119,1.5104759465206365,15,15,12,17
matlab_trajectory_57,upper_b,1,20,-17456.449250465874,1.1562816730490924,8,8,4,16
matlab_trajectory_57,lower_a,0,20,0.0,0.0,0,0,0,1
matlab_trajectory_57,lower_a,1,20,0.0,0.0,0,0,0,1
matlab_trajectory_57,upper_a,0,20,-137.3442200623585,0.81,7,7,7,0
matlab_trajectory_57,upper_a,1,20,-255.3916534822543,0.81,12,12,12,0
python_trajectory_146,lower_b,0,20,0.0,3.288463495684561,0,0,1,0
python_trajectory_146,lower_b,1,20,0.0,8.19961725451908,0,0,1,0
python_trajectory_146,upper_b,0,20,-1994.9519133682918,0.003167337713492202,1,1,1,16
python_trajectory_146,upper_b,1,20,-2080.898519289214,0.003191811930404853,1,1,0,14
python_trajectory_146,lower_a,0,20,0.0,0.0,0,0,0,1
python_trajectory_146,lower_a,1,20,0.0,0.0,0,0,0,1
python_trajectory_146,upper_a,0,20,-1780.5925618816711,0.81,6,6,6,0
python_trajectory_146,upper_a,1,20,-108.069301859625,0.81,6,6,6,0
python_trajectory_401,lower_b,0,20,0.0,3.0837071450261755,0,0,1,0
python_trajectory_401,lower_b,1,20,0.0,8.28682458833841,0,0,1,0
python_trajectory_401,upper_b,0,20,-1986.5235326586137,0.003167337713492202,1,1,0,12
python_trajectory_401,upper_b,1,20,-2157.241138201235,0.003191811930404853,1,1,0,12
python_trajectory_401,lower_a,0,20,0.0,0.0,0,0,0,1
python_trajectory_401,lower_a,1,20,0.0,0.0,0,0,0,1
python_trajectory_401,upper_a,0,20,-102.9986527497635,0.81,5,5,5,0
python_trajectory_401,upper_a,1,20,-108.16168488396707,0.81,6,6,6,0
python_trajectory_424,lower_b,0,20,0.0,3.0837071450261755,0,0,1,0
python_trajectory_424,lower_b,1,20,0.0,8.286824766386795,0,0,1,0
python_trajectory_424,upper_b,0,20,-1997.426147025802,0.003167337713492202,1,1,1,12
python_trajectory_424,upper_b,1,20,-2147.9832276161305,0.003191811930404853,1,1,0,12
python_trajectory_424,lower_a,0,20,0.0,0.0,0,0,0,1
python_trajectory_424,lower_a,1,20,0.0,0.0,0,0,0,1
python_trajectory_424,upper_a,0,20,-1816.0171224647195,0.81,6,6,6,0
python_trajectory_424,upper_a,1,20,-107.87038427121621,0.81,6,6,6,0
python_trajectory_500,lower_b,0,20,0.0,3.0837071450264695,0,0,1,0
python_trajectory_500,lower_b,1,20,0.0,8.28682458833841,0,0,1,0
python_trajectory_500,upper_b,0,20,-1997.244106210222,0.003167337713492202,1,1,1,12
python_trajectory_500,upper_b,1,20,-2157.2418276372787,0.003191811930404853,1,1,0,12
python_trajectory_500,lower_a,0,20,0.0,0.0,0,0,0,1
python_trajectory_500,lower_a,1,20,0.0,0.0,0,0,0,1
python_trajectory_500,upper_a,0,20,-1808.9532269776137,0.81,6,6,6,0
python_trajectory_500,upper_a,1,20,-108.16168488396707,0.81,6,6,6,0
