province_index,province_name,year,track_a_capital_100m_yuan,track_b_capital_100m_yuan,track_a_minus_track_b_100m_yuan,track_a_to_track_b_ratio,track_b_relative_difference_from_track_a,track_a_k_to_y,track_b_k_to_y,track_a_k_per_person_model_units,track_b_k_per_person_model_units,initial_stock_assumption,track_a_timing,track_b_timing
12,安徽,2018,70182.43335888097,84616.79999999999,-14434.36664111902,0.8294148840287151,0.20566922448112124,2.0635276737422696,2.4879318100961747,1155076.256729443,1392639.8946675442,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
13,福建,2018,87795.53811850408,111894.40000000001,-24098.861881495934,0.7846285258109795,0.27448845804632954,2.2693339533006287,2.8922399309343,2139267.4980142317,2726471.7348927874,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
14,江西,2018,51050.04792908307,60069.100000000006,-9019.052070916936,0.8498553820364059,0.17667078556803484,2.247267313586295,2.644293795258953,1131177.6629533141,1331023.7092842897,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
15,山东,2018,210016.97307581102,270978.1,-60961.12692418895,0.7750330121726111,0.29026761995176203,3.151094362784848,4.06575502371382,2084121.9914241445,2689075.1215639575,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
16,河南,2018,168320.55601470312,212642.19999999995,-44321.64398529683,0.7915670361513526,0.2633168819940522,3.370732399229875,4.258303144631417,1706412.773871686,2155740.0648824,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
17,湖北,2018,101805.15366230691,121768.09999999999,-19962.94633769308,0.8360576675032864,0.19608974221394754,2.422663215989408,2.897722621483984,1720553.5518388865,2057936.4542842656,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
18,湖南,2018,93791.80714892803,116936.9,-23145.092851071968,0.8020719477677964,0.24677094465533495,2.5816840532382055,3.2187686658574117,1413591.6676552831,1762425.0188394876,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
19,广东,2018,191259.40686816652,210598.09999999998,-19338.693131833454,0.9081725184992958,0.10111237637144535,1.9136427449058737,2.107135710369282,1548910.0005520452,1705523.971493359,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
20,广西,2018,67306.70883876627,90100.90000000001,-22794.191161233743,0.7470148338003978,0.33866150276100115,3.429151959912281,4.590473715852006,1360556.071129296,1821324.034768547,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
21,海南,2018,14673.330466888332,17771.2,-3097.8695331116687,0.8256803404884494,0.21112245376755367,2.988032351169555,3.618873073085304,1494229.1717808894,1809694.50101833,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
22,重庆,2018,50663.83463130832,61621.1,-10957.265368691682,0.8221832234625529,0.2162739052112828,2.3467647405742014,2.854308715630327,1601765.2428488245,1948185.2671514384,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
23,四川,2018,94830.04741899477,117533.20000000003,-22703.152581005255,0.8068362591931024,0.23940884982050256,2.2103824152895726,2.7395675269975137,1139647.2469534285,1412488.8835476509,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
24,贵州,2018,39447.014665611394,48745.79999999999,-9298.785334388594,0.8092392506761896,0.23572849335275475,2.569302468906247,3.1749602688690297,1032103.9943906696,1275400.3139717423,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
25,云南,2018,68611.98486091176,84406.5,-15794.515139088238,0.8128756062733529,0.23020052795596024,3.2859201776247695,4.0423407373351345,1458898.2534746283,1794737.401658516,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
26,西藏,2018,6325.734326183821,8459.9,-2134.1656738161782,0.7477315720261258,0.3373783285495131,4.085336041193375,5.46363988633428,1786930.6006168986,2389802.2598870057,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
27,陕西,2018,73897.9102910824,92119.20000000001,-18221.28970891761,0.8021987847384953,0.24657381564843056,3.086551622514604,3.847614433273884,1879875.611576759,2343403.7140676677,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
28,甘肃,2018,25177.70467938732,30457.399999999998,-5279.695320612678,0.8266531181055284,0.20969724555293162,3.1067860316860996,3.7582705050529976,1001101.5777092373,1211029.8210735586,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
29,青海,2018,17578.40752956772,21874.8,-4296.392470432278,0.8035916913328451,0.24441306547282743,6.396800411050845,7.960262008733624,2994617.9777798504,3726541.737649063,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
30,宁夏,2018,18640.640444563738,24528.800000000007,-5888.159555436268,0.7599491391573878,0.31587753505290433,5.3104211852782575,6.987863939376676,2625442.316135738,3454760.5633802824,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
31,新疆,2018,49250.55303193712,62283.099999999984,-13032.546968062867,0.7907530779928605,0.2646172715991992,3.8448758748994583,4.862296438552937,1954387.0250768696,2471551.5873015868,K_2000=I_2000/0.1 for both tracks,K_t=(1-0.096)K_(t-1)+I_(t-1),K_t=K_(t-1)+I_(t-1)-D_(t-1)
