province_index,province_name,legacy_At_grid,N0_NU,AtN_baseline_MU,K0_MU,GovInv_source_initial_reference_MU,AtN_to_K0,AtN_to_GovInv_reference,bridge_status,authority
20,广西,2.0,494700.0,989400.0,67306708.83876626,67306708.83876626,0.0146998719305993,0.0146998719305993,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
21,海南,2.0,98200.0,196400.0,14673330.466888333,14673330.466888333,0.013384827694243918,0.013384827694243918,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
22,重庆,2.0,316300.0,632600.0,50663834.63130832,50663834.63130832,0.012486224238721111,0.012486224238721111,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
23,四川,2.0,832100.0,1664200.0,94830047.41899477,94830047.41899477,0.01754928996973859,0.01754928996973859,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
24,贵州,2.0,382200.0,764400.0,39447014.665611394,39447014.665611394,0.019377892255719384,0.019377892255719384,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
25,云南,2.0,470300.0,940600.0,68611984.86091176,68611984.86091176,0.01370897521630889,0.01370897521630889,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
26,西藏,2.0,35400.0,70800.0,6325734.326183821,6325734.326183821,0.011192376465597174,0.011192376465597174,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
27,陕西,2.0,393100.0,786200.0,73897910.2910824,73897910.2910824,0.010639001791839226,0.010639001791839226,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
28,甘肃,2.0,251500.0,503000.0,25177704.67938732,25177704.67938732,0.019977992688578954,0.019977992688578954,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
29,青海,2.0,58700.0,117400.0,17578407.529567722,17578407.529567722,0.006678648211024098,0.006678648211024098,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
30,宁夏,2.0,71000.0,142000.0,18640640.44456374,18640640.44456374,0.007617764015260117,0.007617764015260117,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
31,新疆,2.0,252000.0,504000.0,49250553.031937115,49250553.031937115,0.010233387626595281,0.010233387626595281,SOURCE_FAITHFUL_BASELINE_ONLY,NO_REPLACEMENT_BRIDGE_SELECTED
