turn,household_convergence_count,ra_lower,ra_interior,ra_upper,wage_lower,wage_interior,wage_upper,firm_K_ratio_min,firm_K_ratio_median,firm_K_ratio_max,private_K_ratio_min,private_K_ratio_median,private_K_ratio_max,GovInv_ratio_min,GovInv_ratio_median,GovInv_ratio_max,K_above_1p05,K_above_1p25,K_above_2,K_below_0p95,K_below_0p75,K_below_0p5,labor_ratio_min,labor_ratio_median,labor_ratio_max,labor_outside_0p8_1p2,national_Ktarget,national_private_K,national_GovInv,national_firm_total_K,national_Ltarget_proxy,national_firm_destination_labor,max_KN_gap,max_Y_prev_gap,max_GDP_level_gap,zt_adjusted_count,govinv_decrease,govinv_increase,govinv_hold,hjb_converged_count,hjb_nonconverged_but_continued_count,hjb_nonconverged_provinces,hjb_failures,kfe_failures,kfe_diagnostic_only_count
15,31,0,9,22,11,7,13,1.3432297338643733,1.7744016453786362,1.8057364597641556,0.0009030243083340104,0.0031539393935032284,0.03417545976415483,1.3310000000000002,1.7715610000000008,1.771561000000001,31,31,0,0,0,0,4.626635051278384,14.303269527844765,153.4493560379898,31,2481992906.900551,6504114.32968433,4352635138.98175,4359139253.311433,14031000.0,175664436.84528694,0.11977870912758526,0.06795727645389571,0.07276692890239889,0,0,0,31,31,0,,0,0,31
16,30,0,9,22,11,7,13,1.3429227713929606,1.7743286341600542,1.8048835443679294,0.0009030928241503489,0.003072345879661936,0.033322544367928676,1.3310000000000002,1.7715610000000008,1.771561000000001,31,31,0,0,0,0,4.624576166084177,14.296605619565295,153.38030468532068,31,2481992906.900551,6342255.544133929,4352635138.98175,4358977394.525883,14031000.0,175575471.778011,0.04526074511464184,0.0004664850834718015,0.07263290060792404,27,0,26,5,30,1,山东,1,0,31
17,30,0,10,21,11,7,13,1.3425520877259935,1.9509446424978785,1.9810183743667757,0.0008720402655117346,0.002973725083413283,0.03230127436677484,1.3310000000000002,1.948717100000001,1.9487171000000014,31,31,0,0,0,0,4.623589055281454,14.293424253248984,153.35211860040874,31,2481992906.900551,6146618.197545942,4748172597.951594,4754319216.149141,14031000.0,175524875.71633795,0.11988689319468016,0.06765268678592118,0.07276560079901429,0,0,0,31,30,1,山东,1,0,31
18,30,0,10,21,12,6,13,1.3425504964220656,1.9509443163655378,1.9810138509538053,0.0008719038117771558,0.0029732920992307545,0.03229675095380451,1.3310000000000002,1.948717100000001,1.9487171000000014,31,31,0,0,0,0,4.62368663687083,14.293637261396455,153.35439026460102,31,2481992906.900551,6145759.819922811,4748172597.951594,4754318357.771516,14031000.0,175533568.40075076,0.0447850545350319,0.0004739948017586926,0.07277134842555677,26,0,25,6,30,1,山东,1,0,31
19,30,0,15,16,12,6,13,1.3423777286417926,2.145725236097377,2.1754020448922704,0.000857425409185735,0.0029273093429306495,0.031813234892269136,1.3310000000000002,2.143588810000001,2.143588810000002,31,31,25,0,0,0,4.62036961649332,14.283420973624011,153.2360947472506,31,2481992906.900551,6054543.752209771,5171878446.566082,5177932990.318291,14031000.0,175391131.5430924,0.12032503055682131,0.06790598043410678,0.07263728077825404,0,0,0,31,30,1,山东,1,0,31
20,30,0,15,16,11,7,13,1.3426262555560828,2.145773745027009,2.176092678071516,0.0008574484295442857,0.0029933772767265824,0.032503868071514765,1.3310000000000002,2.143588810000001,2.143588810000002,31,31,25,0,0,0,4.607607417412428,14.243147926741504,152.81360400492673,31,2481992906.900551,6185606.854110547,5171878446.566082,5178064053.420191,14031000.0,174899874.25495204,0.04796375433560507,0.0007649181373549085,0.07186854955516542,25,0,22,9,30,1,山东,1,0,31
21,29,0,18,13,11,7,13,1.3428325184766654,2.359925254524894,2.372180215735405,0.0008701420454369984,0.003048129676079274,0.03308214700740542,1.3310000000000002,2.3579476910000015,2.3579476910000023,31,31,25,0,0,0,4.606684439237845,14.24077385512034,152.77394214426764,31,2481992906.900551,6294221.653771493,5606736222.777718,5613030444.43149,14031000.0,174873911.56986466,0.12055999839991971,0.06694008085789982,0.07281641162438479,0,0,0,31,29,2,辽宁|山东,2,0,31
22,30,0,18,13,12,6,13,1.342381361577689,2.359847270778117,2.371639186927955,0.0008576587729191256,0.0029280656667003448,0.031827219984056285,1.3310000000000002,2.3579476910000015,2.3579476910000023,31,31,25,0,0,0,4.612560172414871,14.258591123644347,153.05180501585224,31,2481992906.900551,6056062.440334533,5606736222.777718,5612792285.218051,14031000.0,175021800.88551563,0.04363016086907545,0.0035863199812653512,0.07317355477590826,22,0,21,10,30,1,山西,1,0,31
23,31,0,18,13,12,6,13,1.3422837376949632,2.595625129163842,2.607316602559961,0.0008493932223572677,0.0029020304300717446,0.03156248702345431,1.3310000000000002,2.593742460100002,2.5937424601000028,31,31,25,0,0,0,4.600323869490516,14.22080095901516,152.64149480395668,31,2481992906.900551,6004412.459639229,6058268678.349957,6064273090.809594,14031000.0,174564098.17387974,0.1221581404859724,0.06879828126912546,0.072102640490181,0,0,0,31,31,0,,0,0,31
24,31,0,18,13,12,6,13,1.342283534345176,2.595625139404112,2.6073166728249286,0.0008493972700559567,0.0029020461807708277,0.03156258715897108,1.3310000000000002,2.593742460100002,2.5937424601000028,31,31,25,0,0,0,4.5998953689043764,14.218938456231067,152.6330362598683,31,2481992906.900551,6004443.171146777,6058268678.349957,6064273121.521104,14031000.0,174557148.96005386,0.04550956302890374,0.0004718261008189728,0.07207623891925596,21,0,16,15,31,0,,0,0,31
25,31,0,21,10,12,6,13,1.3422659595802506,2.853982006571298,2.866669200187509,0.0008481231331185131,0.0028972105868056955,0.031512159806483794,1.3310000000000002,2.8531167061100016,2.8531167061100033,31,31,25,0,0,0,4.589147349109114,14.185856256268298,152.27181508908618,31,2481992906.900551,5994851.485636529,6407698554.843209,6413693406.32884,14031000.0,174142893.69015235,0.12229540553631124,0.06779475820199932,0.07220163208908015,0,0,0,31,31,0,,0,0,31
