k0,matlab_linear_index1,b_index0,a_index0,z_index0,b_index1,a_index1,z_index1,b,a,z,faces,g,p,mu_b,mu_a,ell_lower_b,ell_upper_b,ell_lower_a,ell_upper_a,ell_total,q,delta,r,weighted_outward_flux,pin
12,13,12,0,0,13,1,1,2.421052631578947,0.0,0.8,lower_a,-0.0,-0.0,1.4039783666396772,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,-0.0,0
13,14,13,0,0,14,1,1,2.7894736842105257,0.0,0.8,lower_a,-0.0,-0.0,1.6117321626068621,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,-0.0,0
14,15,14,0,0,15,1,1,3.1578947368421053,0.0,0.8,lower_a,-0.0,-0.0,1.8060811801689471,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,-0.0,0
15,16,15,0,0,16,1,1,3.526315789473684,0.0,0.8,lower_a,-0.0,-0.0,1.990315313694853,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,-0.0,0
16,17,16,0,0,17,1,1,3.894736842105263,0.0,0.8,lower_a,-0.0,-0.0,2.1665996577313456,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,-0.0,0
17,18,17,0,0,18,1,1,4.263157894736842,0.0,0.8,lower_a,-0.0,-0.0,2.336457164452514,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,-0.0,0
18,19,18,0,0,19,1,1,4.63157894736842,0.0,0.8,lower_a,-0.0,-0.0,2.5010163134280754,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,-0.0,0
19,20,19,0,0,20,1,1,5.0,0.0,0.8,upper_b+lower_a,-0.0,-0.0,0.00191625189662048,0.0,0.0,0.0052012551479698734,0.0,0.0,0.0052012551479698734,-0.005201255147969874,-8.673617379884035e-19,0.0,-0.0,0
20,21,0,1,0,1,2,1,-2.0,0.5263157894736842,0.8,lower_b,0.0,0.0,0.17302502397776642,0.03684210526314648,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
21,22,1,1,0,2,2,1,-1.631578947368421,0.5263157894736842,0.8,interior,0.0,0.0,-0.09386484890294611,0.11233083816511928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,23,2,1,0,3,2,1,-1.263157894736842,0.5263157894736842,0.8,interior,0.0,0.0,-0.13668209863264558,0.12675952729134837,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
23,24,3,1,0,4,2,1,-0.8947368421052633,0.5263157894736842,0.8,interior,0.0,0.0,-0.21958852808593754,0.13274131541153594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,25,4,1,0,5,2,1,-0.5263157894736843,0.5263157894736842,0.8,interior,0.0,0.0,-0.26021405757011884,0.13662384667960212,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0
25,26,5,1,0,6,2,1,-0.1578947368421053,0.5263157894736842,0.8,interior,0.0,0.0,-0.28592314707459465,0.13981835279692845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,27,6,1,0,7,2,1,0.21052631578947345,0.5263157894736842,0.8,interior,0.0,0.0,-0.5059792299128532,0.15357947626475293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,28,7,1,0,8,2,1,0.5789473684210527,0.5263157894736842,0.8,interior,0.0,0.0,-0.7390994560396802,0.16783597857345095,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
28,29,8,1,0,9,2,1,0.9473684210526314,0.5263157894736842,0.8,interior,0.0,0.0,-0.8960915301206924,0.1778316566152593,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
29,30,9,1,0,10,2,1,1.3157894736842102,0.5263157894736842,0.8,interior,0.0,0.0,-1.0155772173294224,0.18570876052826246,0.0,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,-3.3306690738754696e-16,0.0,0.0,0
30,31,10,1,0,11,2,1,1.6842105263157894,0.5263157894736842,0.8,interior,0.0,0.0,-1.1113341177471092,0.1922477655674334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31,32,11,1,0,12,2,1,2.052631578947368,0.5263157894736842,0.8,interior,0.0,0.0,-1.1737096155870805,0.2027237046718196,0.0,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,-3.3306690738754696e-16,0.0,0.0,0
32,33,12,1,0,13,2,1,2.421052631578947,0.5263157894736842,0.8,interior,0.0,0.0,1.387196978159503,0.038346726515988604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,34,13,1,0,14,2,1,2.7894736842105257,0.5263157894736842,0.8,interior,0.0,0.0,1.565847960917531,0.06092797721654622,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0
34,35,14,1,0,15,2,1,3.1578947368421053,0.5263157894736842,0.8,interior,0.0,0.0,1.7756327412207717,0.05035500228842012,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,0
35,36,15,1,0,16,2,1,3.526315789473684,0.5263157894736842,0.8,interior,0.0,0.0,1.9726812755619738,0.0403453543756146,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0
36,37,16,1,0,17,2,1,3.894736842105263,0.5263157894736842,0.8,interior,0.0,0.0,2.1534473237343486,0.03684210526314648,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
37,38,17,1,0,18,2,1,4.263157894736842,0.5263157894736842,0.8,interior,0.0,0.0,2.3238684805743945,0.03684210526314648,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
38,39,18,1,0,19,2,1,4.63157894736842,0.5263157894736842,0.8,interior,0.0,0.0,2.4890363687006687,0.03684210526314648,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
39,40,19,1,0,20,2,1,5.0,0.5263157894736842,0.8,upper_b,0.0,0.0,0.00191625189662048,0.03684210526314648,0.0,0.0052012551479698734,0.0,0.0,0.0052012551479698734,-0.005201255147969874,-8.673617379884035e-19,0.0,0.0,0
40,41,0,2,0,1,3,1,-2.0,1.0526315789473684,0.8,lower_b,0.0,0.0,0.046922616251029226,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
41,42,1,2,0,2,3,1,-1.631578947368421,1.0526315789473684,0.8,interior,0.0,0.0,-0.09643922013234452,0.15556588501013793,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0
42,43,2,2,0,3,3,1,-1.263157894736842,1.0526315789473684,0.8,interior,0.0,0.0,-0.18672575859089946,0.17271644339717973,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
43,44,3,2,0,4,3,1,-0.8947368421052633,1.0526315789473684,0.8,interior,0.0,0.0,-0.24530403898122088,0.18027987171370374,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
44,45,4,2,0,5,3,1,-0.5263157894736843,1.0526315789473684,0.8,interior,0.0,0.0,-0.27807030602525984,0.18584656427463728,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
45,46,5,2,0,6,3,1,-0.1578947368421053,1.0526315789473684,0.8,interior,0.0,0.0,-0.30010830149864987,0.19065820525792115,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
46,47,6,2,0,7,3,1,0.21052631578947345,1.0526315789473684,0.8,interior,0.0,0.0,-0.5236113950902013,0.21370476283782705,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
47,48,7,2,0,8,3,1,0.5789473684210527,1.0526315789473684,0.8,interior,0.0,0.0,-0.7630246521126907,0.237680054627387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,49,8,2,0,9,3,1,0.9473684210526314,1.0526315789473684,0.8,interior,0.0,0.0,-0.9252879305189783,0.254323364276284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,50,9,2,0,10,3,1,1.3157894736842102,1.0526315789473684,0.8,interior,0.0,0.0,-1.049284710672385,0.26731605434361116,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
50,51,10,2,0,11,3,1,1.6842105263157894,1.0526315789473684,0.8,interior,0.0,0.0,-1.1485563053213674,0.2781825362324597,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
51,52,11,2,0,12,3,1,2.052631578947368,1.0526315789473684,0.8,interior,0.0,0.0,-1.057655443736806,0.33948348779307935,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
52,53,12,2,0,13,3,1,2.421052631578947,1.0526315789473684,0.8,interior,0.0,0.0,1.3796824528333431,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,-3.885780586188048e-16,-3.885780586188048e-16,0.0,0.0,0
53,54,13,2,0,14,3,1,2.7894736842105257,1.0526315789473684,0.8,interior,0.0,0.0,1.588859608426807,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
54,55,14,2,0,15,3,1,3.1578947368421053,1.0526315789473684,0.8,interior,0.0,0.0,1.7843778642712813,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
55,56,15,2,0,16,3,1,3.526315789473684,1.0526315789473684,0.8,interior,0.0,0.0,1.9696270918113425,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
56,57,16,2,0,17,3,1,3.894736842105263,1.0526315789473684,0.8,interior,0.0,0.0,2.1468570267587737,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
57,58,17,2,0,18,3,1,4.263157894736842,1.0526315789473684,0.8,interior,0.0,0.0,2.3176481863559406,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
58,59,18,2,0,19,3,1,4.63157894736842,1.0526315789473684,0.8,interior,0.0,0.0,2.4831733719214606,0.07368421051462451,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
59,60,19,2,0,20,3,1,5.0,1.0526315789473684,0.8,upper_b,0.0,0.0,0.0019162518960111896,0.07368421051462451,0.0,0.005201255146316085,0.0,0.0,0.005201255146316085,-0.005201255146316142,-5.637851296924623e-17,0.0,0.0,0
60,61,0,3,0,1,4,1,-2.0,1.5789473684210527,0.8,lower_b,0.0,0.0,0.0,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
61,62,1,3,0,2,4,1,-1.631578947368421,1.5789473684210527,0.8,interior,0.0,0.0,-0.12258653651964302,0.1832241940424046,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0
62,63,2,3,0,3,4,1,-1.263157894736842,1.5789473684210527,0.8,interior,0.0,0.0,-0.2099797526890974,0.1965727654350127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63,64,3,3,0,4,4,1,-0.8947368421052633,1.5789473684210527,0.8,interior,0.0,0.0,-0.25013402439214083,0.20472419448693663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,65,4,3,0,5,4,1,-0.5263157894736843,1.5789473684210527,0.8,interior,0.0,0.0,-0.27506554810337214,0.21135775312707647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65,66,5,3,0,6,4,1,-0.1578947368421053,1.5789473684210527,0.8,interior,0.0,0.0,-0.29314929197868445,0.21737106805060413,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0
66,67,6,3,0,7,4,1,0.21052631578947345,1.5789473684210527,0.8,interior,0.0,0.0,-0.525196943123369,0.24908963598749123,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0
67,68,7,3,0,8,4,1,0.5789473684210527,1.5789473684210527,0.8,interior,0.0,0.0,-0.7718168859497574,0.28167196787147614,0.0,0.0,0.0,0.0,0.0,-3.885780586188048e-16,-3.885780586188048e-16,0.0,0.0,0
68,69,8,3,0,9,4,1,0.9473684210526314,1.5789473684210527,0.8,interior,0.0,0.0,-0.9384719955894401,0.30396404895907336,0.0,0.0,0.0,0.0,0.0,-3.885780586188048e-16,-3.885780586188048e-16,0.0,0.0,0
69,70,9,3,0,10,4,1,1.3157894736842102,1.5789473684210527,0.8,interior,0.0,0.0,-1.0656988245852492,0.3211948407425453,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
70,71,10,3,0,11,4,1,1.6842105263157894,1.5789473684210527,0.8,interior,0.0,0.0,-1.1645574764404625,0.3370195027732898,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0
71,72,11,3,0,12,4,1,2.052631578947368,1.5789473684210527,0.8,interior,0.0,0.0,1.1065706838243212,0.1419553024546363,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0
72,73,12,3,0,13,4,1,2.421052631578947,1.5789473684210527,0.8,interior,0.0,0.0,1.3734364615744283,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
73,74,13,3,0,14,4,1,2.7894736842105257,1.5789473684210527,0.8,interior,0.0,0.0,1.5829682380343675,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0
74,75,14,3,0,15,4,1,3.1578947368421053,1.5789473684210527,0.8,interior,0.0,0.0,1.7787277795353038,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0
75,76,15,3,0,16,4,1,3.526315789473684,1.5789473684210527,0.8,interior,0.0,0.0,1.9641835793560327,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0
76,77,16,3,0,17,4,1,3.894736842105263,1.5789473684210527,0.8,interior,0.0,0.0,2.14160238925074,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0
77,78,17,3,0,18,4,1,4.263157894736842,1.5789473684210527,0.8,interior,0.0,0.0,2.3125930817631835,0.1105263151152957,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.0,0
78,79,18,3,0,19,4,1,4.63157894736842,1.5789473684210527,0.8,interior,0.0,0.0,2.493232398469475,0.09334475395283381,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0
79,80,19,3,0,20,4,1,5.0,1.5789473684210527,0.8,upper_b,0.0,0.0,0.017646792981366843,0.09282750234721429,0.0,0.04789843809228143,0.0,0.0,0.04789843809228143,-0.04789843809228139,3.469446951953614e-17,0.0,0.0,0
80,81,0,4,0,1,5,1,-2.0,2.1052631578947367,0.8,lower_b,0.0,0.0,0.0,0.1473684090807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
81,82,1,4,0,2,5,1,-1.631578947368421,2.1052631578947367,0.8,interior,0.0,0.0,-0.14950570436064758,0.18976273778695027,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
82,83,2,4,0,3,5,1,-1.263157894736842,2.1052631578947367,0.8,interior,0.0,0.0,-0.20136961238933182,0.20205798743995632,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
83,84,3,4,0,4,5,1,-0.8947368421052633,2.1052631578947367,0.8,interior,0.0,0.0,-0.23083023678980474,0.21113778692166268,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
84,85,4,4,0,5,5,1,-0.5263157894736843,2.1052631578947367,0.8,interior,0.0,0.0,-0.251060494219832,0.2190006194891339,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
85,86,5,4,0,6,5,1,-0.1578947368421053,2.1052631578947367,0.8,interior,0.0,0.0,-0.2669752099987335,0.2263459893273037,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
86,87,6,4,0,7,5,1,0.21052631578947345,2.1052631578947367,0.8,interior,0.0,0.0,-0.5143147774783969,0.267275516889113,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
87,88,7,4,0,8,5,1,0.5789473684210527,2.1052631578947367,0.8,interior,0.0,0.0,-0.7695170297693164,0.3079883761807351,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
88,89,8,4,0,9,5,1,0.9473684210526314,2.1052631578947367,0.8,interior,0.0,0.0,-0.9401575603762709,0.33533060545388715,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
89,90,9,4,0,10,5,1,1.3157894736842102,2.1052631578947367,0.8,interior,0.0,0.0,-1.0697686895256027,0.35629254944636474,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
90,91,10,4,0,11,5,1,1.6842105263157894,2.1052631578947367,0.8,interior,0.0,0.0,-1.1523652944020455,0.3864366878641551,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
91,92,11,4,0,12,5,1,2.052631578947368,2.1052631578947367,0.8,interior,0.0,0.0,1.1469173152554557,0.1473684090807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,93,12,4,0,13,5,1,2.421052631578947,2.1052631578947367,0.8,interior,0.0,0.0,1.3752711322515765,0.1473684090807629,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0
93,94,13,4,0,14,5,1,2.7894736842105257,2.1052631578947367,0.8,interior,0.0,0.0,1.5842751518838396,0.1473684090807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,95,14,4,0,15,5,1,3.1578947368421053,2.1052631578947367,0.8,interior,0.0,0.0,1.7796602243743829,0.1473684090807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95,96,15,4,0,16,5,1,3.526315789473684,2.1052631578947367,0.8,interior,0.0,0.0,1.964839844671081,0.1473684090807629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,97,16,4,0,17,5,1,3.894736842105263,2.1052631578947367,0.8,interior,0.0,0.0,2.1614309024781067,0.1249546900222118,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
97,98,17,4,0,18,5,1,4.263157894736842,2.1052631578947367,0.8,interior,0.0,0.0,2.352939253258925,0.09883208551291689,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
98,99,18,4,0,19,5,1,4.63157894736842,2.1052631578947367,0.8,interior,0.0,0.0,2.5365533795313837,0.0739605520068023,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
99,100,19,4,0,20,5,1,5.0,2.1052631578947367,0.8,upper_b,0.0,0.0,0.06596221128007862,0.0733116883106771,0.0,0.17904028776021338,0.0,0.0,0.17904028776021338,-0.17904028776021336,2.7755575615628914e-17,0.0,0.0,0
100,101,0,5,0,1,6,1,-2.0,2.631578947368421,0.8,lower_b,0.0,0.0,0.0,0.18421041481907402,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
101,102,1,5,0,2,6,1,-1.631578947368421,2.631578947368421,0.8,interior,0.0,0.0,-0.11878684683255081,0.18421041481907402,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
102,103,2,5,0,3,6,1,-1.263157894736842,2.631578947368421,0.8,interior,0.0,0.0,-0.15181642864007472,0.18421041481907402,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
103,104,3,5,0,4,6,1,-0.8947368421052633,2.631578947368421,0.8,interior,0.0,0.0,-0.1807671664052215,0.1960283609244602,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0
104,105,4,5,0,5,6,1,-0.5263157894736843,2.631578947368421,0.8,interior,0.0,0.0,-0.2009263871706839,0.20630291519385802,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
105,106,5,5,0,6,6,1,-0.1578947368421053,2.631578947368421,0.8,interior,0.0,0.0,-0.2174037717750874,0.21589268627948952,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
106,107,6,5,0,7,6,1,0.21052631578947345,2.631578947368421,0.8,interior,0.0,0.0,-0.48965922823580676,0.2683343046348025,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0
107,108,7,5,0,8,6,1,0.5789473684210527,2.631578947368421,0.8,interior,0.0,0.0,-0.7550101768694315,0.3174003451860087,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.0,0.0,0
108,109,8,5,0,9,6,1,0.9473684210526314,2.631578947368421,0.8,interior,0.0,0.0,-0.929205301215223,0.3496611416993807,0.0,0.0,0.0,0.0,0.0,-3.885780586188048e-16,-3.885780586188048e-16,0.0,0.0,0
109,110,9,5,0,10,6,1,1.3157894736842102,2.631578947368421,0.8,interior,0.0,0.0,-1.0602156574788761,0.3744464118690556,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,0.0,0
110,111,10,5,0,11,6,1,1.6842105263157894,2.631578947368421,0.8,interior,0.0,0.0,-1.0331882251641957,0.46661944194024035,0.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,4.996003610813204e-16,0.0,0.0,0
111,112,11,5,0,12,6,1,2.052631578947368,2.631578947368421,0.8,interior,0.0,0.0,1.1578062544989152,0.18421041481907402,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0
112,113,12,5,0,13,6,1,2.421052631578947,2.631578947368421,0.8,interior,0.0,0.0,1.384311208033198,0.18421041481907402,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,0.0,0
113,114,13,5,0,14,6,1,2.7894736842105257,2.631578947368421,0.8,interior,0.0,0.0,1.5920776463391775,0.18421041481907402,0.0,0.0,0.0,0.0,0.0,7.216449660063518e-16,7.216449660063518e-16,0.0,0.0,0
114,115,14,5,0,15,6,1,3.1578947368421053,2.631578947368421,0.8,interior,0.0,0.0,1.793680786865158,0.176202804473523,0.0,0.0,0.0,0.0,0.0,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,0
115,116,15,5,0,16,6,1,3.526315789473684,2.631578947368421,0.8,interior,0.0,0.0,2.0067447299874814,0.14180288813686684,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,-1.6653345369377348e-16,0.0,0.0,0
