severity,variable,province,year,issue,detail
DATA_QUALITY,就业人数,山西省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,内蒙古,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,辽宁省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,吉林省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,黑龙江,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,上海市,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,江苏省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,浙江省,2013-2015,MISSING_RUN_INTERIOR,length=3
DATA_QUALITY,就业人数,浙江省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,安徽省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,福建省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,江西省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,山东省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,河南省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,湖北省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,湖南省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,广东省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,广西,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,海南省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,重庆市,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,四川省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,贵州省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,云南省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,西藏,2019-2019,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,就业人数,西藏,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,陕西省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,甘肃省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,青海省,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,宁夏,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,就业人数,新疆,2019-2019,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,就业人数,新疆,2021-2023,MISSING_RUN_ENDPOINT,length=3
DATA_QUALITY,第一产业固定资产投资额,北京市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,天津市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,河北省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,山西省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,内蒙古,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,辽宁省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,吉林省,2003-2003,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,吉林省,2006-2006,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,吉林省,2016-2023,MISSING_RUN_ENDPOINT,length=8
DATA_QUALITY,第一产业固定资产投资额,黑龙江,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,黑龙江,2008-2011,MISSING_RUN_INTERIOR,length=4
DATA_QUALITY,第一产业固定资产投资额,黑龙江,2013-2013,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,黑龙江,2017-2023,MISSING_RUN_ENDPOINT,length=7
DATA_QUALITY,第一产业固定资产投资额,上海市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,江苏省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,浙江省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,安徽省,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,安徽省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,福建省,2018-2020,MISSING_RUN_INTERIOR,length=3
DATA_QUALITY,第一产业固定资产投资额,福建省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业固定资产投资额,江西省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,江西省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第一产业固定资产投资额,江西省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,山东省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,河南省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,湖北省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,湖南省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,湖南省,2003-2008,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业固定资产投资额,湖南省,2010-2023,MISSING_RUN_ENDPOINT,length=14
DATA_QUALITY,第一产业固定资产投资额,广东省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,广西,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,广西,2003-2003,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,广西,2012-2012,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,广西,2015-2015,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,广西,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,海南省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,海南省,2003-2008,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业固定资产投资额,海南省,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,海南省,2012-2014,MISSING_RUN_INTERIOR,length=3
DATA_QUALITY,第一产业固定资产投资额,海南省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,重庆市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,四川省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,四川省,2003-2008,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业固定资产投资额,四川省,2010-2016,MISSING_RUN_INTERIOR,length=7
DATA_QUALITY,第一产业固定资产投资额,四川省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,第一产业固定资产投资额,贵州省,2017-2023,MISSING_RUN_ENDPOINT,length=7
DATA_QUALITY,第一产业固定资产投资额,云南省,2000-2000,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业固定资产投资额,云南省,2003-2006,MISSING_RUN_INTERIOR,length=4
DATA_QUALITY,第一产业固定资产投资额,云南省,2008-2008,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,云南省,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,云南省,2012-2023,MISSING_RUN_ENDPOINT,length=12
DATA_QUALITY,第一产业固定资产投资额,西藏,2011-2016,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业固定资产投资额,西藏,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,陕西省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,陕西省,2003-2008,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业固定资产投资额,陕西省,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,陕西省,2012-2023,MISSING_RUN_ENDPOINT,length=12
DATA_QUALITY,第一产业固定资产投资额,甘肃省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,青海省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,青海省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第一产业固定资产投资额,青海省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业固定资产投资额,宁夏,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第一产业固定资产投资额,宁夏,2003-2008,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业固定资产投资额,宁夏,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业固定资产投资额,宁夏,2012-2023,MISSING_RUN_ENDPOINT,length=12
DATA_QUALITY,第一产业固定资产投资额,新疆,2003-2006,MISSING_RUN_INTERIOR,length=4
DATA_QUALITY,第一产业固定资产投资额,新疆,2015-2016,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第一产业固定资产投资额,新疆,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第一产业从业人员数,北京市,2013-2019,MISSING_RUN_INTERIOR,length=7
DATA_QUALITY,第一产业从业人员数,北京市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,天津市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,河北省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,山西省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,内蒙古,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,辽宁省,2019-2019,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第一产业从业人员数,辽宁省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,吉林省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,黑龙江,2011-2013,MISSING_RUN_INTERIOR,length=3
DATA_QUALITY,第一产业从业人员数,黑龙江,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,上海市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,江苏省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,浙江省,2013-2019,MISSING_RUN_INTERIOR,length=7
DATA_QUALITY,第一产业从业人员数,浙江省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,安徽省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,福建省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,江西省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,山东省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,河南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,湖北省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,湖南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,广东省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,广西,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,海南省,2014-2019,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第一产业从业人员数,海南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,重庆市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,四川省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,贵州省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,云南省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,西藏,2018-2019,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第一产业从业人员数,西藏,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,陕西省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,甘肃省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,青海省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,宁夏,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业从业人员数,新疆,2018-2019,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第一产业从业人员数,新疆,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第一产业占GDP的比重,上海市,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第二产业固定资产投资额,北京市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,天津市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,河北省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,山西省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,内蒙古,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,辽宁省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,吉林省,2003-2003,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,吉林省,2016-2016,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,吉林省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,黑龙江,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第二产业固定资产投资额,黑龙江,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,黑龙江,2008-2016,MISSING_RUN_INTERIOR,length=9
DATA_QUALITY,第二产业固定资产投资额,黑龙江,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,上海市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,江苏省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,浙江省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,安徽省,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,安徽省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,福建省,2018-2020,MISSING_RUN_INTERIOR,length=3
DATA_QUALITY,第二产业固定资产投资额,福建省,2023-2023,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第二产业固定资产投资额,江西省,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,江西省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,江西省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,山东省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,河南省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,湖北省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,湖南省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第二产业固定资产投资额,湖南省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,湖南省,2010-2023,MISSING_RUN_ENDPOINT,length=14
DATA_QUALITY,第二产业固定资产投资额,广东省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,广西,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,广西,2003-2003,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,广西,2012-2012,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,广西,2015-2015,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,广西,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,海南省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第二产业固定资产投资额,海南省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,海南省,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,海南省,2012-2014,MISSING_RUN_INTERIOR,length=3
DATA_QUALITY,第二产业固定资产投资额,海南省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,重庆市,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,四川省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第二产业固定资产投资额,四川省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,四川省,2010-2016,MISSING_RUN_INTERIOR,length=7
DATA_QUALITY,第二产业固定资产投资额,四川省,2019-2023,MISSING_RUN_ENDPOINT,length=5
DATA_QUALITY,第二产业固定资产投资额,贵州省,2017-2023,MISSING_RUN_ENDPOINT,length=7
DATA_QUALITY,第二产业固定资产投资额,云南省,2000-2000,MISSING_RUN_ENDPOINT,length=1
DATA_QUALITY,第二产业固定资产投资额,云南省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,云南省,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,云南省,2012-2023,MISSING_RUN_ENDPOINT,length=12
DATA_QUALITY,第二产业固定资产投资额,西藏,2011-2016,MISSING_RUN_INTERIOR,length=6
DATA_QUALITY,第二产业固定资产投资额,西藏,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,陕西省,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,陕西省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,陕西省,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,陕西省,2012-2016,MISSING_RUN_INTERIOR,length=5
DATA_QUALITY,第二产业固定资产投资额,陕西省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,甘肃省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,青海省,2000-2001,MISSING_RUN_ENDPOINT,length=2
DATA_QUALITY,第二产业固定资产投资额,青海省,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,青海省,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,宁夏,2001-2001,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,宁夏,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,宁夏,2010-2010,MISSING_RUN_INTERIOR,length=1
DATA_QUALITY,第二产业固定资产投资额,宁夏,2012-2016,MISSING_RUN_INTERIOR,length=5
DATA_QUALITY,第二产业固定资产投资额,宁夏,2018-2023,MISSING_RUN_ENDPOINT,length=6
DATA_QUALITY,第二产业固定资产投资额,新疆,2003-2004,MISSING_RUN_INTERIOR,length=2
DATA_QUALITY,第二产业固定资产投资额,新疆,2015-2016,MISSING_RUN_INTERIOR,length=2
