ra0_desc_rank,Y_over_K_desc_rank,profit_over_K_desc_rank,province_index,province,Y_over_K,K_over_Y,mt_recovered,mt_minus_mstar,alpha,rk_saved,delta,profit_over_K,after_tax_profit_over_K,rk_share_of_positive_components,profit_share_of_positive_components,ra0_without_profit,ra0_at_mstar,ra0_saved,ra_used,ramax,ra0_minus_ramax,clip_amount,raw_ra_classification
11,11,19,16,湖北,0.41189266775190664,2.427816949153184,1.0140378501157654,0.1140378501157654,0.7380939146868483,0.308283195194613,0.025,0.0,0.0,1.0,0.0,0.283283195194613,0.27332748447974714,0.283283195194613,0.09,0.09,0.19328319519461298,0.19328319519461298,UPPER
12,12,26,23,贵州,0.3891912819057008,2.5694306283106703,1.0104325225617592,0.11043252256175917,0.7380939146868483,0.29025656030061997,0.025,0.0,0.0,1.0,0.0,0.26525656030061995,0.25688522205573633,0.26525656030061995,0.09,0.09,0.17525656030061995,0.17525656030061995,UPPER
13,13,20,17,湖南,0.38652213608084957,2.587173945946599,1.010010305679099,0.11001030567909897,0.7380939146868483,0.2881454730018117,0.025,0.0,0.0,1.0,0.0,0.2631454730018117,0.2549520010445842,0.2631454730018117,0.09,0.09,0.17314547300181168,0.17314547300181168,UPPER
14,14,23,20,海南,0.3339736356237699,2.994248327812697,1.0017692158092877,0.10176921580928766,0.7380939146868483,0.24694002673104404,0.025,0.0,0.0,1.0,0.0,0.22194002673104404,0.21689193544519883,0.22194002673104404,0.09,0.09,0.13194002673104405,0.13194002673104405,UPPER
15,15,29,26,陕西,0.3253787769432498,3.073341197586506,1.0004340796632254,0.10043407966322537,0.7380939146868483,0.24026434384331968,0.025,0.0,0.0,1.0,0.0,0.2152643438433197,0.21066681232365084,0.2152643438433197,0.09,0.09,0.1252643438433197,0.1252643438433197,UPPER
16,16,30,27,甘肃,0.32382875036281344,3.0880519375738356,1.0001936748583722,0.10019367485837216,0.7380939146868483,0.2390623214392065,0.025,0.0,0.0,1.0,0.0,0.2140623214392065,0.209544152060864,0.2140623214392065,0.09,0.09,0.12406232143920651,0.12406232143920651,UPPER
17,17,17,14,山东,0.3166617690243645,3.1579435783517598,0.999083598517167,0.09908359851716697,0.7380939146868483,0.2335119377635756,0.025,0.0,0.0,1.0,0.0,0.2085119377635756,0.20435321839923204,0.2085119377635756,0.09,0.09,0.1185119377635756,0.1185119377635756,UPPER
18,18,27,24,云南,0.3037442841524578,3.292243022087855,0.9970890498855076,0.0970890498855076,0.7380939146868483,0.22353919658539267,0.025,0.0,0.0,1.0,0.0,0.19853919658539268,0.19499728402760527,0.19853919658539268,0.09,0.09,0.10853919658539268,0.10853919658539268,UPPER
19,19,7,3,山西,0.2983862006840056,3.3513614158685954,0.9962640598716733,0.0962640598716733,0.7380939146868483,0.21941424655983088,0.025,0.0,0.0,1.0,0.0,0.1944142465598309,0.19111650709729425,0.1944142465598309,0.09,0.09,0.10441424655983089,0.10441424655983089,UPPER
20,20,18,15,河南,0.2960320976466999,3.378012073519987,0.9959020280623665,0.09590202806236647,0.7380939146868483,0.2176040850473219,0.025,0.0,0.0,1.0,0.0,0.1926040850473219,0.18941146670131284,0.1926040850473219,0.09,0.09,0.10260408504732191,0.10260408504732191,UPPER
21,21,22,19,广西,0.29007236167686345,3.447415652491519,0.9949866680251063,0.09498666802510625,0.7380939146868483,0.21302728736324927,0.025,0.0,0.0,1.0,0.0,0.18802728736324928,0.1850949221758937,0.18802728736324928,0.09,0.09,0.09802728736324928,0.09802728736324928,UPPER
22,22,6,2,河北,0.2851753691622348,3.506614203525779,0.9942357948589994,0.09423579485899936,0.7380939146868483,0.209272918934572,0.025,0.0,0.0,1.0,0.0,0.184272918934572,0.18154810628723297,0.184272918934572,0.09,0.09,0.09427291893457201,0.09427291893457201,UPPER
23,23,9,5,辽宁,0.26202461983096537,3.8164352672092785,0.9907012944759744,0.09070129447597441,0.7380939146868483,0.19160041911566428,0.025,0.0,0.0,1.0,0.0,0.16660041911566428,0.1647803768456913,0.16660041911566428,0.09,0.09,0.07660041911566429,0.07660041911566429,UPPER
24,24,31,30,新疆,0.2600763308510485,3.8450250229526746,0.9904049885708925,0.09040498857089252,0.7380939146868483,0.1901188914963976,0.025,0.0,0.0,1.0,0.0,0.1651188914963976,0.16336926129078097,0.1651188914963976,0.09,0.09,0.07511889149639761,0.07511889149639761,UPPER
25,25,28,25,西藏,0.24424771043610619,4.09420419218871,0.9880042469813383,0.08800424698133824,0.7380939146868483,0.178115181400331,0.025,0.0,0.0,1.0,0.0,0.153115181400331,0.1519048365003432,0.153115181400331,0.09,0.09,0.06311518140033101,0.06311518140033101,UPPER
26,26,10,7,黑龙江,0.21987189441472477,4.548102897197897,0.984329821028532,0.08432982102853193,0.7380939146868483,0.15974305493254568,0.025,0.0,0.0,1.0,0.0,0.13474305493254568,0.13424981021524332,0.13474305493254568,0.09,0.09,0.044743054932545684,0.044743054932545684,UPPER
27,27,5,1,天津,0.20687072167704912,4.83393682727672,0.9823811706921682,0.08238117069216822,0.7380939146868483,0.14999980138328017,0.025,0.0,0.0,1.0,0.0,0.12499980138328018,0.12483326201765892,0.12499980138328018,0.09,0.09,0.03499980138328018,0.03499980138328018,UPPER
28,28,8,4,内蒙古,0.19643373580867832,5.090775247353519,0.9808224211775125,0.08082242117751248,0.7380939146868483,0.14220605414389265,0.025,0.0,0.0,1.0,0.0,0.11720605414389265,0.11727391468415127,0.11720605414389265,0.09,0.09,0.027206054143892655,0.027206054143892655,UPPER
29,29,3,29,宁夏,0.18791479352661217,5.32156080547422,0.979553790947354,0.07955379094735393,0.7380939146868483,0.13586290162520206,0.025,8.384928199768709e-05,6.288696149826532e-05,0.9995373434125185,0.00046265658748157894,0.11086290162520207,0.11110377663506191,0.11092578858670037,0.09,0.09,0.02092578858670037,0.02092578858670037,UPPER
30,30,2,6,吉林,0.16843530292601808,5.9369976639590245,0.9766652237664447,0.07666522376644469,0.7380939146868483,0.12142006770937093,0.025,0.0005616940450893704,0.00042127053381702786,0.9965424662935316,0.0034575337064683027,0.09642006770937092,0.09699508307287792,0.09684133824318795,0.09,0.09,0.006841338243187958,0.006841338243187958,UPPER
31,31,1,28,青海,0.15599747756595098,6.410360062246715,0.9748297435105832,0.07482974351058314,0.7380939146868483,0.11224266570897194,0.025,0.0008065469707180163,0.0006049102280385122,0.9946395815504608,0.0053604184495390705,0.08724266570897193,0.08798655866209096,0.08784757593701044,0.08784757593701044,0.09,-0.002152424062989558,0.0,INTERIOR
